                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   78250939 |   78256610 |   78256678 |   78243757 |   78240218 |   78238647 |   78242771 |   78243987 |   78243063 |   78239478 |   78246392 |   78249535 |   78247077 |   78237559 |   78240033 |   78239224
  Cycles                             |   31855096 |   31855096 |   31855096 |   31855096 |   31855096 |   31855096 |   31855096 |   31855096 |   31855096 |   31855096 |   31855096 |   31855096 |   31855096 |   31855096 |   31855096 |   31855096
  IPC                                |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46
  Time (ns)                          |   11975600 |   11975600 |   11975600 |   11975600 |   11975600 |   11975600 |   11975600 |   11975600 |   11975600 |   11975600 |   11975600 |   11975600 |   11975600 |   11975600 |   11975600 |   11975600
  Idle time (ns)                     |         44 |        -18 |          1 |         92 |         44 |         47 |         47 |         43 |         45 |         37 |        100 |         40 |        100 |         48 |         39 |         97
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2171725 |    2171899 |    2171907 |    2171529 |    2171432 |    2171390 |    2171503 |    2171535 |    2171511 |    2171412 |    2171600 |    2171687 |    2171621 |    2171360 |    2171427 |    2171405
  num incorrect                      |        981 |       1015 |       1022 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8524367 |    8525005 |    8525013 |    8523588 |    8523203 |    8523034 |    8523482 |    8523612 |    8523514 |    8523123 |    8523872 |    8524216 |    8523950 |    8522916 |    8523183 |    8523096
    num misses                       |         40 |         42 |         43 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   36053007 |   36055620 |   36055649 |   36049706 |   36048079 |   36047358 |   36049253 |   36049812 |   36049388 |   36047739 |   36050917 |   36052363 |   36051233 |   36046857 |   36047993 |   36047622
    num misses                       |         69 |         71 |         71 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        109 |        113 |        114 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109
    num misses                       |        109 |        111 |        112 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109
    miss rate                        |    100.00% |     98.23% |     98.25% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    8524367 |    8525005 |    8525013 |    8523588 |    8523203 |    8523034 |    8523482 |    8523612 |    8523514 |    8523123 |    8523872 |    8524216 |    8523950 |    8522916 |    8523183 |    8523096
    num cache misses                 |        437 |        468 |        474 |        437 |        437 |        437 |        437 |        437 |        437 |        437 |        437 |        437 |        437 |        437 |        437 |        437
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   36053007 |   36055620 |   36055649 |   36049706 |   36048079 |   36047358 |   36049253 |   36049812 |   36049388 |   36047739 |   36050917 |   36052363 |   36051233 |   36046857 |   36047993 |   36047622
    num cache misses                 |    2119451 |    2119623 |    2119624 |    2119256 |    2119158 |    2119116 |    2119229 |    2119262 |    2119237 |    2119138 |    2119327 |    2119413 |    2119347 |    2119087 |    2119153 |    2119132
    miss rate                        |      5.88% |      5.88% |      5.88% |      5.88% |      5.88% |      5.88% |      5.88% |      5.88% |      5.88% |      5.88% |      5.88% |      5.88% |      5.88% |      5.88% |      5.88% |      5.88%
    mpki                             |      27.09 |      27.09 |      27.09 |      27.09 |      27.09 |      27.09 |      27.09 |      27.09 |      27.09 |      27.09 |      27.09 |      27.09 |      27.09 |      27.09 |      27.09 |      27.09
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2119905 |    2120111 |    2120121 |    2119710 |    2119612 |    2119570 |    2119683 |    2119716 |    2119691 |    2119592 |    2119781 |    2119867 |    2119801 |    2119541 |    2119607 |    2119586
    num cache misses                 |       3776 |       3821 |       3828 |       3776 |       3776 |       3776 |       3776 |       3776 |       3776 |       3776 |       3776 |       3776 |       3776 |       3776 |       3776 |       3776
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       3794 |       3842 |       3852 |       3794 |       3794 |       3794 |       3794 |       3794 |       3794 |       3794 |       3794 |       3794 |       3794 |       3794 |       3794 |       3794
