                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   70121716 |   70119788 |   70118105 |   70115923 |   70121271 |   70113506 |   70112837 |   70111303
  Cycles                             |  320653690 |  320653690 |  320653690 |  320653690 |  320653690 |  320653690 |  320653690 |  320653690
  IPC                                |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22
  Time (ns)                          |  120546500 |  120546500 |  120546500 |  120546500 |  120546500 |  120546500 |  120546500 |  120546500
  Idle time (ns)                     |        -47 |         21 |         15 |         -2 |         58 |         16 |         -2 |        -47
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   10022008 |   10021765 |   10021525 |   10021213 |   10021958 |   10020868 |   10020773 |   10020554
  num incorrect                      |       1519 |       1443 |       1443 |       1443 |       1474 |       1443 |       1443 |       1443
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      15340 |      15171 |      15171 |      15171 |      15256 |      15171 |      15171 |      15171
    num misses                       |         52 |         48 |         48 |         48 |         49 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   60040234 |   60038990 |   60037548 |   60035680 |   60040052 |   60033608 |   60033036 |   60031701
    num misses                       |         80 |         79 |         79 |         79 |         79 |         79 |         79 |         79
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |        132 |        127 |        127 |        127 |        128 |        127 |        127 |        127
    num misses                       |        121 |        116 |        116 |        116 |        117 |        116 |        116 |        116
    miss rate                        |     91.67% |     91.34% |     91.34% |     91.34% |     91.41% |     91.34% |     91.34% |     91.34%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      15340 |      15171 |      15171 |      15171 |      15256 |      15171 |      15171 |      15171
    num cache misses                 |       5101 |       5255 |       5487 |       5452 |       5082 |       5081 |       5151 |       4730
    miss rate                        |     33.25% |     34.64% |     36.17% |     35.94% |     33.31% |     33.49% |     33.95% |     31.18%
    mpki                             |       0.07 |       0.07 |       0.08 |       0.08 |       0.07 |       0.07 |       0.07 |       0.07
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   60040234 |   60038990 |   60037548 |   60035680 |   60040052 |   60033608 |   60033036 |   60031701
    num cache misses                 |       4832 |       4883 |       5015 |       4979 |       4825 |       4884 |       4887 |       4652
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       9968 |      10170 |      10535 |      10464 |       9941 |       9999 |      10071 |       9415
    num cache misses                 |       4011 |       3932 |       3971 |       3986 |       3951 |       3937 |       3958 |       3904
    miss rate                        |     40.24% |     38.66% |     37.69% |     38.09% |     39.74% |     39.37% |     39.30% |     41.47%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4046 |       3965 |       4004 |       4019 |       3986 |       3972 |       3993 |       3939
    num cache misses                 |       2489 |       2418 |       2418 |       2418 |       2446 |       2418 |       2418 |       2418
    miss rate                        |     61.52% |     60.98% |     60.39% |     60.16% |     61.36% |     60.88% |     60.56% |     61.39%
    mpki                             |       0.04 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      19468 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      81.80 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      28.37 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       1146 |       1143 |       1141 |       1145 |       1140 |       1144 |       1145 |       1145
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
