                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |     118198 |     116805 |     121530 |     117160 |     117372 |     120351 |     115805 |     116965 |     120735 |     116394 |     120619 |     116260 |     114756 |     121632
  Cycles                             |    1257914 |    1257914 |    1257914 |    1257914 |    1257914 |    1257914 |    1257914 |    1257914 |    1257914 |    1257914 |    1257914 |    1257914 |    1257914 |    1257914
  IPC                                |       0.09 |       0.09 |       0.10 |       0.09 |       0.09 |       0.10 |       0.09 |       0.09 |       0.10 |       0.09 |       0.10 |       0.09 |       0.09 |       0.10
  Time (ns)                          |     472900 |     472900 |     472900 |     472900 |     472900 |     472900 |     472900 |     472900 |     472900 |     472900 |     472900 |     472900 |     472900 |     472900
  Idle time (ns)                     |        -53 |        -53 |        516 |         34 |        279 |        169 |        168 |        -65 |        -23 |         34 |       1447 |        -82 |        100 |        -82
  Idle time (%)                      |      -0.0% |      -0.0% |       0.1% |       0.0% |       0.1% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.3% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      21500 |      21338 |      22014 |      21388 |      21407 |      21903 |      21202 |      21359 |      21926 |      21281 |      21922 |      21261 |      21066 |      22023
  num incorrect                      |       1346 |       1331 |       1493 |       1331 |       1337 |       1407 |       1327 |       1331 |       1429 |       1330 |       1425 |       1329 |       1322 |       1503
  misprediction rate                 |      5.89% |      5.87% |      6.35% |      5.86% |      5.88% |      6.04% |      5.89% |      5.87% |      6.12% |      5.88% |      6.10% |      5.88% |      5.90% |      6.39%
  mpki                               |      11.39 |      11.40 |      12.29 |      11.36 |      11.39 |      11.69 |      11.46 |      11.38 |      11.84 |      11.43 |      11.81 |      11.43 |      11.52 |      12.36
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      14925 |      14769 |      15315 |      14812 |      14851 |      15108 |      14673 |      14786 |      15171 |      14728 |      15149 |      14714 |      14561 |      15330
    num misses                       |         42 |         41 |         51 |         41 |         41 |         45 |         41 |         41 |         49 |         41 |         47 |         41 |         41 |         52
    miss rate                        |      0.28% |      0.28% |      0.33% |      0.28% |      0.28% |      0.30% |      0.28% |      0.28% |      0.32% |      0.28% |      0.31% |      0.28% |      0.28% |      0.34%
