                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9889779 |    9886273 |    9890452 |    9890124 |    9888334 |    9887572 |    9891501 |    9893148 |    9889860 |    9889622 |    9890141 |    9888107 |    9888930 |    9889494 |    9891139
  Cycles                             |   60189682 |   60189682 |   60189682 |   60189682 |   60189682 |   60189682 |   60189682 |   60189682 |   60189682 |   60189682 |   60189682 |   60189682 |   60189682 |   60189682 |   60189682
  IPC                                |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16
  Time (ns)                          |   22627700 |   22627700 |   22627700 |   22627700 |   22627700 |   22627700 |   22627700 |   22627700 |   22627700 |   22627700 |   22627700 |   22627700 |   22627700 |   22627700 |   22627700
  Idle time (ns)                     |         -5 |        -42 |        -17 |        112 |         82 |         55 |         82 |       -103 |        -42 |        -17 |         14 |        165 |        159 |         24 |         -5
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     287246 |     287150 |     287266 |     287256 |     287207 |     287185 |     287295 |     287362 |     287249 |     287242 |     287256 |     287201 |     287223 |     287239 |     287285
  num incorrect                      |        974 |        974 |        974 |        974 |        974 |        974 |        974 |       1015 |        974 |        974 |        974 |        974 |        974 |        974 |        974
  misprediction rate                 |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.35% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1085847 |    1085466 |    1085923 |    1085885 |    1085691 |    1085607 |    1086037 |    1086228 |    1085857 |    1085830 |    1085887 |    1085667 |    1085755 |    1085817 |    1085998
    num misses                       |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         43 |         40 |         40 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4563128 |    4561511 |    4563435 |    4563287 |    4562464 |    4562114 |    4563922 |    4564632 |    4563161 |    4563053 |    4563296 |    4562361 |    4562739 |    4562997 |    4563756
    num misses                       |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         75 |         72 |         72 |         72 |         72 |         72 |         72 |         72
    num misses                       |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         75 |         72 |         72 |         72 |         72 |         72 |         72 |         72
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1085847 |    1085466 |    1085923 |    1085885 |    1085691 |    1085607 |    1086037 |    1086228 |    1085857 |    1085830 |    1085887 |    1085667 |    1085755 |    1085817 |    1085998
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
