                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |    9891791 |    9891731 |    9891065 |    9890384 |    9891671 |    9893079 |    9891599 |    9888499 |    9886874
  Cycles                             |   36128918 |   36128918 |   36128918 |   36128918 |   36128918 |   36128918 |   36128918 |   36128918 |   36128918
  IPC                                |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27
  Time (ns)                          |   13582300 |   13582300 |   13582300 |   13582300 |   13582300 |   13582300 |   13582300 |   13582300 |   13582300
  Idle time (ns)                     |         31 |         15 |          0 |        -17 |         29 |        -52 |        -52 |         15 |         28
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |     287302 |     287301 |     287283 |     287264 |     287299 |     287362 |     287297 |     287212 |     287166
  num incorrect                      |        974 |        974 |        974 |        974 |        974 |       1015 |        974 |        974 |        974
  misprediction rate                 |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.35% |      0.34% |      0.34% |      0.34%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    1086067 |    1086061 |    1085990 |    1085915 |    1086055 |    1086228 |    1086047 |    1085710 |    1085531
    num misses                       |         40 |         40 |         40 |         40 |         40 |         43 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    4564054 |    4564019 |    4563722 |    4563403 |    4564001 |    4564598 |    4563954 |    4562543 |    4561794
    num misses                       |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32
