                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   60119893 |   60121539 |   60121634 |   60121289
  Cycles                             |   80682056 |   80682056 |   80682056 |   80682056
  IPC                                |       0.75 |       0.75 |       0.75 |       0.75
  Time (ns)                          |   30331600 |   30331600 |   30331600 |   30331600
  Idle time (ns)                     |        -45 |          2 |        -45 |         48
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   10021785 |   10022000 |   10022009 |   10021970
  num incorrect                      |       1441 |       1508 |       1517 |       1480
  misprediction rate                 |      0.01% |      0.02% |      0.02% |      0.01%
  mpki                               |       0.02 |       0.03 |       0.03 |       0.02
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      15164 |      15321 |      15333 |      15265
    num misses                       |         48 |         51 |         52 |         50
    miss rate                        |      0.32% |      0.33% |      0.34% |      0.33%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |      39846 |      40205 |      40212 |      40096
    num misses                       |         75 |         76 |         76 |         76
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        123 |        127 |        128 |        126
    num misses                       |        118 |        122 |        123 |        121
    miss rate                        |     95.93% |     96.06% |     96.09% |     96.03%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15164 |      15321 |      15333 |      15265
    num cache misses                 |       1529 |       1649 |       1619 |       1618
    miss rate                        |     10.08% |     10.76% |     10.56% |     10.60%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      39846 |      40205 |      40212 |      40096
    num cache misses                 |       2628 |       2700 |       2675 |       2676
    miss rate                        |      6.60% |      6.72% |      6.65% |      6.67%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04
  Cache L2                           |            |            |            |           
    num cache accesses               |       4191 |       4385 |       4330 |       4328
    num cache misses                 |       2755 |       2827 |       2830 |       2790
    miss rate                        |     65.74% |     64.47% |     65.36% |     64.46%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05
  Cache L3                           |            |            |            |           
    num cache accesses               |       2791 |       2865 |       2868 |       2827
    num cache misses                 |       2411 |       2469 |       2477 |       2443
    miss rate                        |     86.38% |     86.18% |     86.37% |     86.42%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9800 |          0 |          0 |          0
  average dram access latency (ns)   |      68.74 |        inf |        inf |        inf
  average dram queueing delay        |      15.31 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1127 |       1132 |       1130 |       1125
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
