                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   40121327 |   40121626 |   40113172 |   40120830 |   40102296
  Cycles                             |   67208092 |   67208092 |   67208092 |   67208092 |   67208092
  IPC                                |       0.60 |       0.60 |       0.60 |       0.60 |       0.60
  Time (ns)                          |   25266200 |   25266200 |   25266200 |   25266200 |   25266200
  Idle time (ns)                     |        -48 |        -76 |        -76 |        -15 |        -51
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |   10021974 |   10022008 |   10020038 |   10021919 |   10017320
  num incorrect                      |       1484 |       1517 |       1441 |       1451 |       1441
  misprediction rate                 |      0.01% |      0.02% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |      15275 |      15334 |      15165 |      15185 |      15165
    num misses                       |         50 |         52 |         48 |         49 |         48
    miss rate                        |      0.33% |      0.34% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |      40054 |      40202 |      39839 |      39898 |      39839
    num misses                       |         76 |         76 |         75 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        126 |        128 |        123 |        124 |        123
    num misses                       |        119 |        121 |        116 |        117 |        116
    miss rate                        |     94.44% |     94.53% |     94.31% |     94.35% |     94.31%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |      15275 |      15334 |      15165 |      15185 |      15165
    num cache misses                 |       3386 |       3252 |       3246 |       3391 |       3405
    miss rate                        |     22.17% |     21.21% |     21.40% |     22.33% |     22.45%
    mpki                             |       0.08 |       0.08 |       0.08 |       0.08 |       0.08
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |      40054 |      40202 |      39839 |      39898 |      39839
    num cache misses                 |       3492 |       3460 |       3403 |       3523 |       3358
    miss rate                        |      8.72% |      8.61% |      8.54% |      8.83% |      8.43%
    mpki                             |       0.09 |       0.09 |       0.08 |       0.09 |       0.08
  Cache L2                           |            |            |            |            |           
    num cache accesses               |       6911 |       6747 |       6682 |       6947 |       6796
    num cache misses                 |       3147 |       3216 |       3115 |       3154 |       3117
    miss rate                        |     45.54% |     47.67% |     46.62% |     45.40% |     45.87%
    mpki                             |       0.08 |       0.08 |       0.08 |       0.08 |       0.08
  Cache L3                           |            |            |            |            |           
    num cache accesses               |       3185 |       3256 |       3152 |       3190 |       3154
    num cache misses                 |       2444 |       2477 |       2411 |       2425 |       2411
    miss rate                        |     76.73% |     76.07% |     76.49% |     76.02% |     76.44%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      12168 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      72.87 |        inf |        inf |        inf |        inf
  average dram queueing delay        |      19.44 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       1128 |       1139 |       1129 |       1132 |       1135
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
