                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |   12621604 |   12621632 |   12621443 |   12621443 |   12621389 |   12621276 |   12621269 |   12621206 |   12621125 |   12621010 |   12621052 |   12620989 |   12620831
  Cycles                             |   54623100 |   54623100 |   54623100 |   54623100 |   54623100 |   54623100 |   54623100 |   54623100 |   54623100 |   54623100 |   54623100 |   54623100 |   54623100
  IPC                                |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  Time (ns)                          |   20535000 |   20535000 |   20535000 |   20535000 |   20535000 |   20535000 |   20535000 |   20535000 |   20535000 |   20535000 |   20535000 |   20535000 |   20535000
  Idle time (ns)                     |         49 |        -40 |         49 |         35 |        -40 |        100 |         49 |          1 |         12 |         90 |         35 |         -0 |         79
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2522007 |    2522009 |    2521986 |    2521986 |    2521982 |    2521968 |    2521966 |    2521960 |    2521952 |    2521936 |    2521941 |    2521934 |    2521918
  num incorrect                      |       1516 |       1516 |       1495 |       1495 |       1492 |       1478 |       1478 |       1473 |       1470 |       1466 |       1468 |       1463 |       1450
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.11
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
