                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |     138456 |     138098 |     137609
  Cycles                             |     727776 |     727776 |     727776
  IPC                                |       0.19 |       0.19 |       0.19
  Time (ns)                          |     273600 |     273600 |     273600
  Idle time (ns)                     |       -917 |       -917 |        -52
  Idle time (%)                      |      -0.3% |      -0.3% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |      30327 |      30288 |      30238
  num incorrect                      |       1519 |       1483 |       1454
  misprediction rate                 |      4.77% |      4.67% |      4.59%
  mpki                               |      10.97 |      10.74 |      10.57
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |      15458 |      15392 |      15309
    num misses                       |         52 |         50 |         49
    miss rate                        |      0.34% |      0.32% |      0.32%
    mpki                             |       0.38 |       0.36 |       0.36
  D-TLB                              |            |            |           
    num accesses                     |      40244 |      40060 |      39906
    num misses                       |         72 |         72 |         71
    miss rate                        |      0.18% |      0.18% |      0.18%
    mpki                             |       0.52 |       0.52 |       0.52
  L2 TLB                             |            |            |           
    num accesses                     |        124 |        122 |        120
    num misses                       |        122 |        120 |        118
    miss rate                        |     98.39% |     98.36% |     98.33%
    mpki                             |       0.88 |       0.87 |       0.86
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |      15458 |      15392 |      15309
    num cache misses                 |       1381 |       1356 |       1319
    miss rate                        |      8.93% |      8.81% |      8.62%
    mpki                             |       9.97 |       9.82 |       9.59
  Cache L1-D                         |            |            |           
    num cache accesses               |      40244 |      40060 |      39906
    num cache misses                 |       2469 |       2462 |       2468
    miss rate                        |      6.14% |      6.15% |      6.18%
    mpki                             |      17.83 |      17.83 |      17.93
  Cache L2                           |            |            |           
    num cache accesses               |       3887 |       3854 |       3823
    num cache misses                 |       2723 |       2689 |       2654
    miss rate                        |     70.05% |     69.77% |     69.42%
    mpki                             |      19.67 |      19.47 |      19.29
  Cache L3                           |            |            |           
    num cache accesses               |       2762 |       2727 |       2692
    num cache misses                 |       2477 |       2443 |       2424
    miss rate                        |     89.68% |     89.59% |     90.04%
    mpki                             |      17.89 |      17.69 |      17.62
DRAM summary                         |            |            |           
  num dram accesses                  |       7344 |          0 |          0
  average dram access latency (ns)   |      66.64 |        inf |        inf
  average dram queueing delay        |      13.21 |       0.00 |       0.00
  average dram bandwidth utilization |     22.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1128 |       1125 |       1120
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
