                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |    76770859 |    77174618 |    77519526 |    77396331 |    77437295 |    77847285 |    77503994 |    78002484 |    77483366 |    78045845 |    77677041 |    77998801 |    77797241 |    77846885 |    78256673 |    77803362
  Cycles                             |  1146249328 |  1146249328 |  1146249328 |  1146249328 |  1146249328 |  1146249328 |  1146249328 |  1146249328 |  1146249328 |  1146249328 |  1146249328 |  1146249328 |  1146249328 |  1146249328 |  1146249328 |  1146249328
  IPC                                |        0.07 |        0.07 |        0.07 |        0.07 |        0.07 |        0.07 |        0.07 |        0.07 |        0.07 |        0.07 |        0.07 |        0.07 |        0.07 |        0.07 |        0.07 |        0.07
  Time (ns)                          |   430920800 |   430920800 |   430920800 |   430920800 |   430920800 |   430920800 |   430920800 |   430920800 |   430920800 |   430920800 |   430920800 |   430920800 |   430920800 |   430920800 |   430920800 |   430920800
  Idle time (ns)                     |         205 |          85 |         268 |         246 |         229 |         -30 |         268 |         405 |          85 |         489 |         469 |         445 |          84 |         106 |         -30 |         106
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |       -0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |       -0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |     2131215 |     2142267 |     2151706 |     2148334 |     2149456 |     2160678 |     2151281 |     2164926 |     2150717 |     2166112 |     2156020 |     2164825 |     2159309 |     2160667 |     2171907 |     2159476
  num incorrect                      |         981 |         981 |         981 |         981 |         981 |         981 |         981 |         981 |         981 |         981 |         981 |         981 |         981 |         981 |        1022 |         981
  misprediction rate                 |       0.05% |       0.05% |       0.05% |       0.05% |       0.05% |       0.05% |       0.05% |       0.05% |       0.05% |       0.05% |       0.05% |       0.05% |       0.05% |       0.05% |       0.05% |       0.05%
