                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |   28759956 |   28329130 |   28022711 |   28001010 |   27927319 |   27945008 |   27874618 |   27933324 |   27896445 |   28126617
  Cycles                             |  142713256 |  142713256 |  142713256 |  142713256 |  142713256 |  142713256 |  142713256 |  142713256 |  142713256 |  142713256
  IPC                                |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20
  Time (ns)                          |   53651600 |   53651600 |   53651600 |   53651600 |   53651600 |   53651600 |   53651600 |   53651600 |   53651600 |   53651600
  Idle time (ns)                     |        -55 |        132 |         14 |        132 |         40 |        -55 |          3 |        180 |         80 |        105
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1059719 |    1051269 |    1045296 |    1044873 |    1043437 |    1043781 |    1042651 |    1043554 |    1042903 |    1047322
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7948 |       7955 |       7951 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.29 |       0.28 |       0.29 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2876325 |    2843000 |    2819337 |    2817661 |    2811971 |    2813336 |    2808117 |    2812435 |    2809649 |    2827362
    num misses                       |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15778139 |   15554294 |   15395029 |   15383762 |   15345466 |   15354639 |   15316434 |   15348588 |   15328933 |   15449044
    num misses                       |       6344 |       5381 |       4703 |       4654 |       4495 |       4534 |       4391 |       4509 |       4391 |       4934
    miss rate                        |      0.04% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.22 |       0.19 |       0.17 |       0.17 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.18
  L2 TLB                             |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       6407 |       5442 |       4764 |       4715 |       4556 |       4595 |       4452 |       4570 |       4452 |       4995
    num misses                       |        333 |        316 |        316 |        316 |        316 |        316 |        308 |        316 |        308 |        316
    miss rate                        |      5.20% |      5.81% |      6.63% |      6.70% |      6.94% |      6.88% |      6.92% |      6.91% |      6.92% |      6.33%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2876325 |    2843000 |    2819337 |    2817661 |    2811971 |    2813336 |    2808117 |    2812435 |    2809649 |    2827362
    num cache misses                 |    1356333 |    1408569 |    1497826 |    1487097 |    1474029 |    1479679 |    1493011 |    1471523 |    1465220 |    1455579
    miss rate                        |     47.16% |     49.55% |     53.13% |     52.78% |     52.42% |     52.60% |     53.17% |     52.32% |     52.15% |     51.48%
    mpki                             |      47.16 |      49.72 |      53.45 |      53.11 |      52.78 |      52.95 |      53.56 |      52.68 |      52.52 |      51.75
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15778139 |   15554294 |   15395029 |   15383762 |   15345466 |   15354639 |   15316434 |   15348588 |   15328933 |   15449044
    num cache misses                 |     948277 |     952060 |     966010 |     967178 |     967179 |     962847 |     970450 |     970394 |     960266 |     963388
