                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     121689 |     121545 |     121505 |     121492 |     121607 |     121552 |     121377 |     121345 |     121275 |     121234 |     121266 |     121209 |     121068 |     121086 |     121043 |     121064
  Cycles                             |     562324 |     562324 |     562324 |     562324 |     562324 |     562324 |     562324 |     562324 |     562324 |     562324 |     562324 |     562324 |     562324 |     562324 |     562324 |     562324
  IPC                                |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22
  Time (ns)                          |     211400 |     211400 |     211400 |     211400 |     211400 |     211400 |     211400 |     211400 |     211400 |     211400 |     211400 |     211400 |     211400 |     211400 |     211400 |     211400
  Idle time (ns)                     |        -36 |         43 |         29 |         -7 |        172 |        161 |        171 |         98 |        148 |        138 |         55 |         94 |        138 |         98 |         55 |        -27
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.1% |       0.1% |       0.1% |       0.0% |       0.1% |       0.1% |       0.0% |       0.0% |       0.1% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      22012 |      22004 |      22001 |      22000 |      22011 |      22005 |      21985 |      21981 |      21971 |      21968 |      21971 |      21965 |      21949 |      21950 |      21943 |      21947
  num incorrect                      |       1514 |       1506 |       1501 |       1499 |       1514 |       1507 |       1489 |       1484 |       1476 |       1473 |       1476 |       1471 |       1466 |       1466 |       1465 |       1466
  misprediction rate                 |      6.44% |      6.41% |      6.39% |      6.38% |      6.44% |      6.41% |      6.34% |      6.32% |      6.30% |      6.28% |      6.30% |      6.28% |      6.26% |      6.26% |      6.26% |      6.26%
  mpki                               |      12.44 |      12.39 |      12.35 |      12.34 |      12.45 |      12.40 |      12.27 |      12.23 |      12.17 |      12.15 |      12.17 |      12.14 |      12.11 |      12.11 |      12.10 |      12.11
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15330 |      15319 |      15312 |      15307 |      15328 |      15320 |      15282 |      15276 |      15260 |      15252 |      15259 |      15248 |      15225 |      15227 |      15218 |      15224
    num misses                       |         52 |         51 |         51 |         51 |         51 |         51 |         50 |         50 |         50 |         50 |         50 |         49 |         49 |         49 |         49 |         49
    miss rate                        |      0.34% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.43 |       0.42 |       0.42 |       0.42 |       0.42 |       0.42 |       0.41 |       0.41 |       0.41 |       0.41 |       0.41 |       0.40 |       0.40 |       0.40 |       0.40 |       0.40
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40235 |      40203 |      40194 |      40190 |      40247 |      40221 |      40133 |      40110 |      40082 |      40057 |      40079 |      40047 |      39987 |      39990 |      39975 |      39980
    num misses                       |         77 |         77 |         77 |         77 |         77 |         77 |         77 |         77 |         77 |         77 |         77 |         76 |         76 |         76 |         76 |         76
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.64 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        129 |        128 |        128 |        128 |        128 |        128 |        127 |        127 |        127 |        127 |        127 |        125 |        125 |        125 |        125 |        125
    num misses                       |        123 |        122 |        122 |        122 |        122 |        122 |        121 |        121 |        121 |        121 |        121 |        119 |        119 |        119 |        119 |        119
    miss rate                        |     95.35% |     95.31% |     95.31% |     95.31% |     95.31% |     95.31% |     95.28% |     95.28% |     95.28% |     95.28% |     95.28% |     95.20% |     95.20% |     95.20% |     95.20% |     95.20%
    mpki                             |       1.01 |       1.00 |       1.00 |       1.00 |       1.00 |       1.00 |       1.00 |       1.00 |       1.00 |       1.00 |       1.00 |       0.98 |       0.98 |       0.98 |       0.98 |       0.98
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15330 |      15319 |      15312 |      15307 |      15328 |      15320 |      15282 |      15276 |      15260 |      15252 |      15259 |      15248 |      15225 |      15227 |      15218 |      15224
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40235 |      40203 |      40194 |      40190 |      40247 |      40221 |      40133 |      40110 |      40082 |      40057 |      40079 |      40047 |      39987 |      39990 |      39975 |      39980
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
