                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |   73445196 |   77766112 |   67628081 |   69857488 |   78256679 |   77553069 |   65596892 |   76021744 |   77064795 |   72565444 |   73761520 |   77877353 |   77649720
  Cycles                             |  243828900 |  243828900 |  243828900 |  243828900 |  243828900 |  243828900 |  243828900 |  243828900 |  243828900 |  243828900 |  243828900 |  243828900 |  243828900
  IPC                                |       0.30 |       0.32 |       0.28 |       0.29 |       0.32 |       0.32 |       0.27 |       0.31 |       0.32 |       0.30 |       0.30 |       0.32 |       0.32
  Time (ns)                          |   91665000 |   91665000 |   91665000 |   91665000 |   91665000 |   91665000 |   91665000 |   91665000 |   91665000 |   91665000 |   91665000 |   91665000 |   91665000
  Idle time (ns)                     |        -48 |         -1 |        -36 |         -2 |       -100 |        -17 |         -7 |         -6 |        -25 |        -25 |        -29 |        -21 |         -3
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2040188 |    2158456 |    1880964 |    1941986 |    2171907 |    2152623 |    1825368 |    2110711 |    2139261 |    2016106 |    2048844 |    2161502 |    2155272
  num incorrect                      |        981 |        981 |        981 |        981 |       1022 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
