                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |    9893062 |    9777723 |    9760241 |    9766104 |    9764057 |    9780410
  Cycles                             |   23971122 |   23971122 |   23971122 |   23971122 |   23971122 |   23971122
  IPC                                |       0.41 |       0.41 |       0.41 |       0.41 |       0.41 |       0.41
  Time (ns)                          |    9011700 |    9011700 |    9011700 |    9011700 |    9011700 |    9011700
  Idle time (ns)                     |        -25 |        -25 |         17 |         37 |         34 |         55
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |     287362 |     284142 |     283658 |     283820 |     283764 |     284216
  num incorrect                      |       1015 |        974 |        974 |        974 |        974 |        974
  misprediction rate                 |      0.35% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    1086228 |    1073617 |    1071710 |    1072349 |    1072125 |    1073911
    num misses                       |         43 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    4564593 |    4511564 |    4503529 |    4506223 |    4505285 |    4512811
    num misses                       |         32 |         32 |         32 |         32 |         32 |         32
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |         75 |         72 |         72 |         72 |         72 |         72
    num misses                       |         75 |         72 |         72 |         72 |         72 |         72
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    1086228 |    1073617 |    1071710 |    1072349 |    1072125 |    1073911
    num cache misses                 |     343403 |     347507 |     346433 |     345479 |     345048 |     344918
    miss rate                        |     31.61% |     32.37% |     32.33% |     32.22% |     32.18% |     32.12%
    mpki                             |      34.71 |      35.54 |      35.49 |      35.38 |      35.34 |      35.27
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    4564593 |    4511564 |    4503529 |    4506223 |    4505285 |    4512811
    num cache misses                 |      63607 |     269564 |     254749 |     284103 |     269304 |     258454
    miss rate                        |      1.39% |      5.97% |      5.66% |      6.30% |      5.98% |      5.73%
    mpki                             |       6.43 |      27.57 |      26.10 |      29.09 |      27.58 |      26.43
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     407028 |     617085 |     601197 |     629598 |     614366 |     603386
    num cache misses                 |       5073 |      10431 |      10085 |      11020 |      10486 |      10210
    miss rate                        |      1.25% |      1.69% |      1.68% |      1.75% |      1.71% |      1.69%
    mpki                             |       0.51 |       1.07 |       1.03 |       1.13 |       1.07 |       1.04
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |       5094 |      10448 |      10103 |      11038 |      10503 |      10227
    num cache misses                 |       1522 |       1474 |       1474 |       1474 |       1474 |       1474
    miss rate                        |     29.88% |     14.11% |     14.59% |     13.35% |     14.03% |     14.41%
    mpki                             |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |       8892 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      75.12 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      21.70 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |        318 |        403 |        411 |        415 |        418 |        395
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
