                                     | Core 0     | Core 1    
  Instructions                       |   40121757 |   40121462
  Cycles                             |   30642136 |   30642136
  IPC                                |       1.31 |       1.31
  Time (ns)                          |   11519600 |   11519600
  Idle time (ns)                     |      -1161 |      -1161
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |   10022006 |   10021979
  num incorrect                      |       1519 |       1488
  misprediction rate                 |      0.02% |      0.01%
  mpki                               |       0.04 |       0.04
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   20015334 |   20015283
    num misses                       |         52 |         50
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |      40253 |      40110
    num misses                       |         74 |         74
    miss rate                        |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00
  L2 TLB                             |            |           
    num accesses                     |        126 |        124
    num misses                       |        122 |        120
    miss rate                        |     96.83% |     96.77%
    mpki                             |       0.00 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   20015334 |   20015283
    num cache misses                 |        973 |        957
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |      40253 |      40110
    num cache misses                 |       1956 |       1950
    miss rate                        |      4.86% |      4.86%
    mpki                             |       0.05 |       0.05
  Cache L2                           |            |           
    num cache accesses               |       2968 |       2945
    num cache misses                 |       2543 |       2515
    miss rate                        |     85.68% |     85.40%
    mpki                             |       0.06 |       0.06
  Cache L3                           |            |           
    num cache accesses               |       2583 |       2554
    num cache misses                 |       2481 |       2449
    miss rate                        |     96.05% |     95.89%
    mpki                             |       0.06 |       0.06
DRAM summary                         |            |           
  num dram accesses                  |       4930 |          0
  average dram access latency (ns)   |      65.48 |        inf
  average dram queueing delay        |      12.05 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       1120 |       1115
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
