                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |      90472 |      90296 |      90265 |      90157 |      90119 |      90088 |      90058 |      90547 |      90249 |      90114
  Cycles                             |     525350 |     525350 |     525350 |     525350 |     525350 |     525350 |     525350 |     525350 |     525350 |     525350
  IPC                                |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17
  Time (ns)                          |     197500 |     197500 |     197500 |     197500 |     197500 |     197500 |     197500 |     197500 |     197500 |     197500
  Idle time (ns)                     |        -40 |        -60 |        -40 |         52 |         23 |         52 |        -12 |        -60 |        -12 |        -13
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |      19639 |      19621 |      19615 |      19600 |      19592 |      19586 |      19580 |      19646 |      19614 |      19591
  num incorrect                      |       1079 |       1058 |       1055 |       1046 |       1046 |       1046 |       1046 |       1085 |       1052 |       1046
  misprediction rate                 |      5.21% |      5.12% |      5.10% |      5.07% |      5.07% |      5.07% |      5.07% |      5.23% |      5.09% |      5.07%
  mpki                               |      11.93 |      11.72 |      11.69 |      11.60 |      11.61 |      11.61 |      11.61 |      11.98 |      11.66 |      11.61
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4852 |       4820 |       4812 |       4798 |       4798 |       4798 |       4798 |       4859 |       4805 |       4798
    num misses                       |         44 |         42 |         42 |         42 |         42 |         42 |         42 |         45 |         42 |         42
    miss rate                        |      0.91% |      0.87% |      0.87% |      0.88% |      0.88% |      0.88% |      0.88% |      0.93% |      0.87% |      0.88%
    mpki                             |       0.49 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47 |       0.50 |       0.47 |       0.47
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      69715 |      69631 |      69617 |      69509 |      69460 |      69422 |      69386 |      69705 |      69599 |      69454
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  L2 TLB                             |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         65 |         63 |         63 |         63 |         63 |         63 |         63 |         66 |         63 |         63
    num misses                       |         65 |         63 |         63 |         63 |         63 |         63 |         63 |         66 |         63 |         63
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.72 |       0.70 |       0.70 |       0.70 |       0.70 |       0.70 |       0.70 |       0.73 |       0.70 |       0.70
Cache Summary                        |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4852 |       4820 |       4812 |       4798 |       4798 |       4798 |       4798 |       4859 |       4805 |       4798
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      69715 |      69631 |      69617 |      69509 |      69460 |      69422 |      69386 |      69705 |      69599 |      69454
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
