                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |     120518 |     121632 |     120779
  Cycles                             |     763420 |     763420 |     763420
  IPC                                |       0.16 |       0.16 |       0.16
  Time (ns)                          |     287000 |     287000 |     287000
  Idle time (ns)                     |        -73 |        -73 |        969
  Idle time (%)                      |      -0.0% |      -0.0% |       0.3%
Branch predictor stats               |            |            |           
  num correct                        |      21916 |      22023 |      21927
  num incorrect                      |       1420 |       1503 |       1436
  misprediction rate                 |      6.09% |      6.39% |      6.15%
  mpki                               |      11.78 |      12.36 |      11.89
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |      15133 |      15330 |      15177
    num misses                       |         47 |         52 |         49
    miss rate                        |      0.31% |      0.34% |      0.32%
    mpki                             |       0.39 |       0.43 |       0.41
  D-TLB                              |            |            |           
    num accesses                     |      39744 |      40203 |      39874
    num misses                       |        117 |        118 |        117
    miss rate                        |      0.29% |      0.29% |      0.29%
    mpki                             |       0.97 |       0.97 |       0.97
  L2 TLB                             |            |            |           
    num accesses                     |        164 |        170 |        166
    num misses                       |        115 |        121 |        117
    miss rate                        |     70.12% |     71.18% |     70.48%
    mpki                             |       0.95 |       0.99 |       0.97
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |      15133 |      15330 |      15177
    num cache misses                 |       1248 |       1333 |       1285
    miss rate                        |      8.25% |      8.70% |      8.47%
    mpki                             |      10.36 |      10.96 |      10.64
  Cache L1-D                         |            |            |           
    num cache accesses               |      39744 |      40203 |      39874
    num cache misses                 |       2314 |       2351 |       2315
    miss rate                        |      5.82% |      5.85% |      5.81%
    mpki                             |      19.20 |      19.33 |      19.17
  Cache L2                           |            |            |           
    num cache accesses               |       3597 |       3721 |       3636
    num cache misses                 |       2618 |       2729 |       2646
    miss rate                        |     72.78% |     73.34% |     72.77%
    mpki                             |      21.72 |      22.44 |      21.91
  Cache L3                           |            |            |           
    num cache accesses               |       2654 |       2768 |       2683
    num cache misses                 |       2389 |       2475 |       2419
    miss rate                        |     90.02% |     89.41% |     90.16%
    mpki                             |      19.82 |      20.35 |      20.03
DRAM summary                         |            |            |           
  num dram accesses                  |       7283 |          0 |          0
  average dram access latency (ns)   |      67.20 |        inf |        inf
  average dram queueing delay        |      13.77 |       0.00 |       0.00
  average dram bandwidth utilization |     21.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1120 |       1132 |       1122
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
