                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |   60120900 |   60120873 |   60120851 |   60120673 |   60120557 |   60121662 |   60121530 |   60121497 |   60121347 |   60121294 |   60121261 |   60121124 |   60121083 |   60120973
  Cycles                             |  280489020 |  280489020 |  280489020 |  280489020 |  280489020 |  280489020 |  280489020 |  280489020 |  280489020 |  280489020 |  280489020 |  280489020 |  280489020 |  280489020
  IPC                                |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
  Time (ns)                          |  105447000 |  105447000 |  105447000 |  105447000 |  105447000 |  105447000 |  105447000 |  105447000 |  105447000 |  105447000 |  105447000 |  105447000 |  105447000 |  105447000
  Idle time (ns)                     |         81 |         39 |         -4 |        124 |         77 |         -4 |         51 |        113 |         81 |         70 |         39 |         64 |         51 |        121
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10021932 |   10021932 |   10021927 |   10021915 |   10021895 |   10022011 |   10022002 |   10022000 |   10021981 |   10021973 |   10021969 |   10021955 |   10021949 |   10021937
  num incorrect                      |       1450 |       1449 |       1448 |       1437 |       1437 |       1515 |       1506 |       1501 |       1484 |       1478 |       1476 |       1469 |       1466 |       1458
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15189 |      15186 |      15184 |      15164 |      15164 |      15333 |      15319 |      15312 |      15279 |      15267 |      15261 |      15239 |      15228 |      15204
    num misses                       |         49 |         49 |         49 |         48 |         48 |         52 |         51 |         51 |         50 |         50 |         50 |         49 |         49 |         49
    miss rate                        |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.34% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39929 |      39922 |      39911 |      39845 |      39845 |      40232 |      40211 |      40198 |      40124 |      40100 |      40071 |      40012 |      39997 |      39964
    num misses                       |         72 |         72 |         72 |         72 |         72 |         73 |         73 |         73 |         73 |         73 |         73 |         72 |         72 |         72
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        121 |        121 |        121 |        120 |        120 |        125 |        124 |        124 |        123 |        123 |        123 |        121 |        121 |        121
