                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |   60121470 |   60121314 |   60121196 |   60121141 |   60121168 |   60120971 |   60120882 |   60121128 |   60121196 |   60121589 |   60121401 |   60121702 |   60121496 |   60121494
  Cycles                             |  280503650 |  280503650 |  280503650 |  280503650 |  280503650 |  280503650 |  280503650 |  280503650 |  280503650 |  280503650 |  280503650 |  280503650 |  280503650 |  280503650
  IPC                                |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
  Time (ns)                          |  105452500 |  105452500 |  105452500 |  105452500 |  105452500 |  105452500 |  105452500 |  105452500 |  105452500 |  105452500 |  105452500 |  105452500 |  105452500 |  105452500
  Idle time (ns)                     |       -100 |        -69 |        -30 |         30 |        -50 |        -50 |        -93 |         30 |         20 |        -69 |        -30 |       -100 |        -26 |        -26
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10021987 |   10021974 |   10021960 |   10021954 |   10021959 |   10021933 |   10021929 |   10021953 |   10021960 |   10022008 |   10021986 |   10022010 |   10021998 |   10021998
  num incorrect                      |       1495 |       1483 |       1472 |       1471 |       1471 |       1461 |       1452 |       1471 |       1473 |       1514 |       1495 |       1516 |       1501 |       1501
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.02% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03 |       0.02 |       0.03 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15292 |      15272 |      15249 |      15243 |      15246 |      15203 |      15188 |      15239 |      15250 |      15328 |      15289 |      15333 |      15310 |      15310
    num misses                       |         51 |         50 |         49 |         49 |         49 |         49 |         49 |         49 |         49 |         51 |         50 |         52 |         51 |         51
    miss rate                        |      0.33% |      0.33% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.33% |      0.33% |      0.34% |      0.33% |      0.33%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40133 |      40108 |      40051 |      40023 |      40039 |      39964 |      39922 |      40015 |      40051 |      40245 |      40150 |      40247 |      40200 |      40198
    num misses                       |        159 |        159 |        158 |        158 |        158 |        158 |        158 |        158 |        158 |        159 |        159 |        159 |        159 |        159
    miss rate                        |      0.40% |      0.40% |      0.39% |      0.39% |      0.39% |      0.40% |      0.40% |      0.39% |      0.39% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        210 |        209 |        207 |        207 |        207 |        207 |        207 |        207 |        207 |        210 |        209 |        211 |        210 |        210
    num misses                       |        126 |        125 |        123 |        123 |        123 |        123 |        123 |        123 |        123 |        126 |        125 |        127 |        126 |        126
    miss rate                        |     60.00% |     59.81% |     59.42% |     59.42% |     59.42% |     59.42% |     59.42% |     59.42% |     59.42% |     60.00% |     59.81% |     60.19% |     60.00% |     60.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15292 |      15272 |      15249 |      15243 |      15246 |      15203 |      15188 |      15239 |      15250 |      15328 |      15289 |      15333 |      15310 |      15310
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
