                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   70120923 |   70120648 |   70121711 |   70119003 |   70121131 |   70120903
  Cycles                             |  240607374 |  240607374 |  240607374 |  240607374 |  240607374 |  240607374
  IPC                                |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29
  Time (ns)                          |   90453900 |   90453900 |   90453900 |   90453900 |   90453900 |   90453900
  Idle time (ns)                     |        -26 |        -33 |        -64 |        -64 |        140 |        665
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |   10021919 |   10021889 |   10022008 |   10021654 |   10021940 |   10021917
  num incorrect                      |       1454 |       1443 |       1519 |       1443 |       1471 |       1452
  misprediction rate                 |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |      15191 |      15171 |      15340 |      15171 |      15229 |      15191
    num misses                       |         49 |         48 |         52 |         48 |         49 |         49
    miss rate                        |      0.32% |      0.32% |      0.34% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   60039928 |   60039736 |   60040231 |   60038324 |   60039988 |   60039924
    num misses                       |         79 |         79 |         80 |         79 |         79 |         79
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |        128 |        127 |        132 |        127 |        128 |        128
    num misses                       |        117 |        116 |        121 |        116 |        117 |        117
    miss rate                        |     91.41% |     91.34% |     91.67% |     91.34% |     91.41% |     91.41%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |      15191 |      15171 |      15340 |      15171 |      15229 |      15191
    num cache misses                 |       5064 |       4749 |       4598 |       4644 |       4768 |       5048
    miss rate                        |     33.34% |     31.30% |     29.97% |     30.61% |     31.31% |     33.23%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   60039928 |   60039736 |   60040231 |   60038324 |   60039988 |   60039924
    num cache misses                 |       4179 |       3950 |       3944 |       3906 |       4027 |       4122
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |       9277 |       8732 |       8576 |       8583 |       8828 |       9203
    num cache misses                 |       3531 |       3476 |       3545 |       3461 |       3501 |       3506
    miss rate                        |     38.06% |     39.81% |     41.34% |     40.32% |     39.66% |     38.10%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |       3567 |       3511 |       3580 |       3497 |       3535 |       3542
    num cache misses                 |       2432 |       2418 |       2489 |       2418 |       2442 |       2432
    miss rate                        |     68.18% |     68.87% |     69.53% |     69.14% |     69.08% |     68.66%
    mpki                             |       0.03 |       0.03 |       0.04 |       0.03 |       0.03 |       0.03
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      14635 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      76.72 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      23.29 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       1145 |       1140 |       1146 |       1141 |       1143 |       1137
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
