                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |      90519 |      90476 |      90466 |      90446 |      90415 |      90320 |      90320
  Cycles                             |     373730 |     373730 |     373730 |     373730 |     373730 |     373730 |     373730
  IPC                                |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24
  Time (ns)                          |     140500 |     140500 |     140500 |     140500 |     140500 |     140500 |     140500
  Idle time (ns)                     |        -24 |         -4 |          7 |        -11 |        -11 |         -4 |        -24
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |      19646 |      19643 |      19639 |      19637 |      19635 |      19622 |      19622
  num incorrect                      |       1085 |       1080 |       1079 |       1076 |       1072 |       1060 |       1059
  misprediction rate                 |      5.23% |      5.21% |      5.21% |      5.19% |      5.18% |      5.13% |      5.12%
  mpki                               |      11.99 |      11.94 |      11.93 |      11.90 |      11.86 |      11.74 |      11.72
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |       4859 |       4852 |       4852 |       4849 |       4844 |       4826 |       4826
    num misses                       |         45 |         44 |         44 |         44 |         44 |         43 |         43
    miss rate                        |      0.93% |      0.91% |      0.91% |      0.91% |      0.91% |      0.89% |      0.89%
    mpki                             |       0.50 |       0.49 |       0.49 |       0.49 |       0.49 |       0.48 |       0.48
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |      69696 |      69715 |      69720 |      69708 |      69688 |      69646 |      69638
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |         66 |         65 |         65 |         65 |         65 |         64 |         64
    num misses                       |         66 |         65 |         65 |         65 |         65 |         64 |         64
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.73 |       0.72 |       0.72 |       0.72 |       0.72 |       0.71 |       0.71
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |       4859 |       4852 |       4852 |       4849 |       4844 |       4826 |       4826
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |      69696 |      69715 |      69720 |      69708 |      69688 |      69646 |      69638
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
