                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   60121628 |   60121078 |   60121260 |   60119512
  Cycles                             |   80506230 |   80506230 |   80506230 |   80506230
  IPC                                |       0.75 |       0.75 |       0.75 |       0.75
  Time (ns)                          |   30265500 |   30265500 |   30265500 |   30265500
  Idle time (ns)                     |        -95 |        -72 |        -49 |        -95
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   10022011 |   10021949 |   10021969 |   10021725
  num incorrect                      |       1515 |       1466 |       1476 |       1437
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      15333 |      15227 |      15260 |      15164
    num misses                       |         52 |         49 |         50 |         48
    miss rate                        |      0.34% |      0.32% |      0.33% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |      40208 |      39961 |      40076 |      39845
    num misses                       |         73 |         72 |         73 |         72
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        125 |        121 |        123 |        120
    num misses                       |        123 |        119 |        121 |        118
    miss rate                        |     98.40% |     98.35% |     98.37% |     98.33%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15333 |      15227 |      15260 |      15164
    num cache misses                 |       1663 |       1611 |       1641 |       1527
    miss rate                        |     10.85% |     10.58% |     10.75% |     10.07%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      40208 |      39961 |      40076 |      39845
    num cache misses                 |       2728 |       2707 |       2710 |       2663
    miss rate                        |      6.78% |      6.77% |      6.76% |      6.68%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.04
  Cache L2                           |            |            |            |           
    num cache accesses               |       4433 |       4359 |       4391 |       4227
    num cache misses                 |       2795 |       2737 |       2763 |       2725
    miss rate                        |     63.05% |     62.79% |     62.92% |     64.47%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05
  Cache L3                           |            |            |            |           
    num cache accesses               |       2838 |       2779 |       2804 |       2763
    num cache misses                 |       2477 |       2430 |       2442 |       2411
    miss rate                        |     87.28% |     87.44% |     87.09% |     87.26%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9760 |          0 |          0 |          0
  average dram access latency (ns)   |      71.02 |        inf |        inf |        inf
  average dram queueing delay        |      17.59 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1136 |       1127 |       1129 |       1125
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
