                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |   40121549 |   40119801 |   40114568 |   40111423 |   40121647 |   40104367 |   40101812 |   40097253 |   40104699 |   40099849
  Cycles                             |  134295154 |  134295154 |  134295154 |  134295154 |  134295154 |  134295154 |  134295154 |  134295154 |  134295154 |  134295154
  IPC                                |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30
  Time (ns)                          |   50486900 |   50486900 |   50486900 |   50486900 |   50486900 |   50486900 |   50486900 |   50486900 |   50486900 |   50486900
  Idle time (ns)                     |        776 |         95 |         49 |          7 |         -8 |         -8 |         -8 |         75 |          7 |         25
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10022001 |   10021691 |   10020384 |   10019597 |   10022008 |   10017833 |   10017170 |   10016054 |   10017917 |   10016705
  num incorrect                      |       1510 |       1441 |       1441 |       1441 |       1517 |       1441 |       1441 |       1441 |       1441 |       1441
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15324 |      15165 |      15165 |      15165 |      15334 |      15165 |      15165 |      15165 |      15165 |      15165
    num misses                       |         51 |         48 |         48 |         48 |         52 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.33% |      0.32% |      0.32% |      0.32% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40223 |      39839 |      39839 |      39839 |      40216 |      39839 |      39839 |      39839 |      39839 |      39839
    num misses                       |         76 |         75 |         75 |         75 |         76 |         75 |         75 |         75 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        127 |        123 |        123 |        123 |        128 |        123 |        123 |        123 |        123 |        123
