                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   50121639 |   50121283 |   50121364 |   50121240 |   50121140 |   50121066 |   50120959 |   50120809 |   50120783 |   50120776 |   50120723 |   50120667
  Cycles                             |  480419674 |  480419674 |  480419674 |  480419674 |  480419674 |  480419674 |  480419674 |  480419674 |  480419674 |  480419674 |  480419674 |  480419674
  IPC                                |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
  Time (ns)                          |  180608900 |  180608900 |  180608900 |  180608900 |  180608900 |  180608900 |  180608900 |  180608900 |  180608900 |  180608900 |  180608900 |  180608900
  Idle time (ns)                     |       -126 |        -38 |        -82 |         10 |        -50 |        -86 |        -82 |         19 |         10 |        -50 |       -126 |        -38
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10022009 |   10021968 |   10021981 |   10021965 |   10021952 |   10021944 |   10021931 |   10021916 |   10021913 |   10021912 |   10021907 |   10021896
  num incorrect                      |       1517 |       1479 |       1487 |       1476 |       1472 |       1469 |       1458 |       1450 |       1448 |       1445 |       1441 |       1441
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15334 |      15265 |      15283 |      15256 |      15243 |      15227 |      15199 |      15184 |      15177 |      15175 |      15165 |      15165
    num misses                       |         52 |         50 |         50 |         50 |         49 |         49 |         49 |         49 |         49 |         49 |         48 |         48
    miss rate                        |      0.34% |      0.33% |      0.33% |      0.33% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
