                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |     121067 |     121446 |     121690 |     121425 |     121615 |     121395 |     121511 |     121609 |     121503 |     121376 |     121351 |     121314 |     121197
  Cycles                             |     470022 |     470022 |     470022 |     470022 |     470022 |     470022 |     470022 |     470022 |     470022 |     470022 |     470022 |     470022 |     470022
  IPC                                |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26
  Time (ns)                          |     176700 |     176700 |     176700 |     176700 |     176700 |     176700 |     176700 |     176700 |     176700 |     176700 |     176700 |     176700 |     176700
  Idle time (ns)                     |         15 |        -61 |       -118 |        -37 |         48 |        -81 |          3 |         62 |        -10 |         15 |        -48 |        -86 |        -81
  Idle time (%)                      |       0.0% |      -0.0% |      -0.1% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      21949 |      21990 |      22012 |      21989 |      22012 |      21987 |      22002 |      22012 |      22001 |      21985 |      21982 |      21976 |      21963
  num incorrect                      |       1466 |       1495 |       1514 |       1493 |       1514 |       1491 |       1503 |       1514 |       1501 |       1488 |       1484 |       1481 |       1471
  misprediction rate                 |      6.26% |      6.37% |      6.44% |      6.36% |      6.44% |      6.35% |      6.39% |      6.44% |      6.39% |      6.34% |      6.32% |      6.31% |      6.28%
  mpki                               |      12.11 |      12.31 |      12.44 |      12.30 |      12.45 |      12.28 |      12.37 |      12.45 |      12.35 |      12.26 |      12.23 |      12.21 |      12.14
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15225 |      15293 |      15330 |      15291 |      15328 |      15286 |      15313 |      15328 |      15311 |      15282 |      15276 |      15269 |      15247
    num misses                       |         49 |         51 |         52 |         51 |         51 |         50 |         51 |         51 |         51 |         50 |         50 |         50 |         49
    miss rate                        |      0.32% |      0.33% |      0.34% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.32%
    mpki                             |       0.40 |       0.42 |       0.43 |       0.42 |       0.42 |       0.41 |       0.42 |       0.42 |       0.42 |       0.41 |       0.41 |       0.41 |       0.40
