                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   28759956 |   28448095 |   28432587 |   28368870 |   28514019 |   28414680 |   28408249 |   28431318 |   28369300 |   28397017 |   28340327 |   28358399
  Cycles                             |  209269382 |  209269382 |  209269382 |  209269382 |  209269382 |  209269382 |  209269382 |  209269382 |  209269382 |  209269382 |  209269382 |  209269382
  IPC                                |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14
  Time (ns)                          |   78672700 |   78672700 |   78672700 |   78672700 |   78672700 |   78672700 |   78672700 |   78672700 |   78672700 |   78672700 |   78672700 |   78672700
  Idle time (ns)                     |        -20 |        263 |        169 |        321 |        160 |        229 |        263 |        -20 |        118 |        289 |        199 |        106
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1059719 |    1053588 |    1053287 |    1052044 |    1054874 |    1052937 |    1052812 |    1053261 |    1052052 |    1052592 |    1051488 |    1051839
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2876325 |    2852186 |    2850990 |    2846069 |    2857279 |    2849607 |    2849110 |    2850891 |    2846102 |    2848242 |    2843865 |    2845259
    num misses                       |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15778139 |   15616119 |   15608058 |   15574945 |   15650375 |   15598758 |   15595413 |   15607386 |   15575169 |   15589574 |   15560113 |   15569503
    num misses                       |       6344 |       5645 |       5610 |       5473 |       5786 |       5567 |       5554 |       5605 |       5474 |       5536 |       5407 |       5450
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.03% |      0.04%
    mpki                             |       0.22 |       0.20 |       0.20 |       0.19 |       0.20 |       0.20 |       0.20 |       0.20 |       0.19 |       0.19 |       0.19 |       0.19
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       6407 |       5706 |       5671 |       5534 |       5847 |       5628 |       5615 |       5666 |       5535 |       5597 |       5468 |       5511
    num misses                       |        333 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316
    miss rate                        |      5.20% |      5.54% |      5.57% |      5.71% |      5.40% |      5.61% |      5.63% |      5.58% |      5.71% |      5.65% |      5.78% |      5.73%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2876325 |    2852186 |    2850990 |    2846069 |    2857279 |    2849607 |    2849110 |    2850891 |    2846102 |    2848242 |    2843865 |    2845259
    num cache misses                 |    1606378 |    1641971 |    1633744 |    1634864 |    1607674 |    1602007 |    1587684 |    1595481 |    1611240 |    1603815 |    1606319 |    1616104
    miss rate                        |     55.85% |     57.57% |     57.30% |     57.44% |     56.27% |     56.22% |     55.73% |     55.96% |     56.61% |     56.31% |     56.48% |     56.80%
    mpki                             |      55.85 |      57.72 |      57.46 |      57.63 |      56.38 |      56.38 |      55.89 |      56.12 |      56.80 |      56.48 |      56.68 |      56.99
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15778139 |   15616119 |   15608058 |   15574945 |   15650375 |   15598758 |   15595413 |   15607386 |   15575169 |   15589574 |   15560113 |   15569503
    num cache misses                 |    6088216 |    6121252 |    6107362 |    6127036 |    6066524 |    6064577 |    6025878 |    6056909 |    6082886 |    6102915 |    6101508 |    6131868
    miss rate                        |     38.59% |     39.20% |     39.13% |     39.34% |     38.76% |     38.88% |     38.64% |     38.81% |     39.06% |     39.15% |     39.21% |     39.38%
    mpki                             |     211.69 |     215.17 |     214.80 |     215.98 |     212.76 |     213.43 |     212.12 |     213.04 |     214.42 |     214.91 |     215.29 |     216.23
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
