                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   12621636 |   12620840 |   12618470 |   12609180
  Cycles                             |   17317398 |   17317398 |   17317398 |   17317398
  IPC                                |       0.73 |       0.73 |       0.73 |       0.73
  Time (ns)                          |    6510300 |    6510300 |    6510300 |    6510300
  Idle time (ns)                     |        -14 |         11 |        -14 |          0
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    2522009 |    2521920 |    2521471 |    2519617
  num incorrect                      |       1516 |       1450 |       1440 |       1440
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.12 |       0.11 |       0.11 |       0.11
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      15333 |      15185 |      15164 |      15164
    num misses                       |         52 |         49 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |      40204 |      39900 |      39841 |      39841
    num misses                       |         74 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |           
    num accesses                     |        126 |        122 |        121 |        121
    num misses                       |        121 |        117 |        116 |        116
    miss rate                        |     96.03% |     95.90% |     95.87% |     95.87%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15333 |      15185 |      15164 |      15164
    num cache misses                 |       1634 |       1611 |       1594 |       1551
    miss rate                        |     10.66% |     10.61% |     10.51% |     10.23%
    mpki                             |       0.13 |       0.13 |       0.13 |       0.12
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      40204 |      39900 |      39841 |      39841
    num cache misses                 |       2801 |       2816 |       2815 |       2798
    miss rate                        |      6.97% |      7.06% |      7.07% |      7.02%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.22
  Cache L2                           |            |            |            |           
    num cache accesses               |       4472 |       4461 |       4442 |       4382
    num cache misses                 |       2776 |       2688 |       2675 |       2686
    miss rate                        |     62.08% |     60.26% |     60.22% |     61.30%
    mpki                             |       0.22 |       0.21 |       0.21 |       0.21
  Cache L3                           |            |            |            |           
    num cache accesses               |       2815 |       2726 |       2712 |       2723
    num cache misses                 |       2479 |       2426 |       2412 |       2412
    miss rate                        |     88.06% |     88.99% |     88.94% |     88.58%
    mpki                             |       0.20 |       0.19 |       0.19 |       0.19
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9729 |          0 |          0 |          0
  average dram access latency (ns)   |      69.44 |        inf |        inf |        inf
  average dram queueing delay        |      16.01 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1127 |       1122 |       1121 |       1122
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
