                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   40121626 |   40111409 |   40110064
  Cycles                             |   40690552 |   40690552 |   40690552
  IPC                                |       0.99 |       0.99 |       0.99
  Time (ns)                          |   15297200 |   15297200 |   15297200
  Idle time (ns)                     |        -21 |         -4 |        -21
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |   10022008 |   10019595 |   10019264
  num incorrect                      |       1517 |       1441 |       1441
  misprediction rate                 |      0.02% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |      15334 |      15165 |      15165
    num misses                       |         52 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |      40202 |      39839 |      39839
    num misses                       |         76 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |           
    num accesses                     |        128 |        123 |        123
    num misses                       |        121 |        116 |        116
    miss rate                        |     94.53% |     94.31% |     94.31%
    mpki                             |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |      15334 |      15165 |      15165
    num cache misses                 |       1358 |       1321 |       1337
    miss rate                        |      8.86% |      8.71% |      8.82%
    mpki                             |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |           
    num cache accesses               |      40202 |      39839 |      39839
    num cache misses                 |       2401 |       2359 |       2402
    miss rate                        |      5.97% |      5.92% |      6.03%
    mpki                             |       0.06 |       0.06 |       0.06
  Cache L2                           |            |            |           
    num cache accesses               |       3798 |       3717 |       3776
    num cache misses                 |       2730 |       2634 |       2618
    miss rate                        |     71.88% |     70.86% |     69.33%
    mpki                             |       0.07 |       0.07 |       0.07
  Cache L3                           |            |            |           
    num cache accesses               |       2769 |       2671 |       2655
    num cache misses                 |       2477 |       2411 |       2411
    miss rate                        |     89.45% |     90.27% |     90.81%
    mpki                             |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |           
  num dram accesses                  |       7299 |          0 |          0
  average dram access latency (ns)   |      67.04 |        inf |        inf
  average dram queueing delay        |      13.61 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1128 |       1121 |       1120
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
