                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |      90515 |      83135 |      88222 |      86082 |      81979 |      83326
  Cycles                             |     428792 |     428792 |     428792 |     428792 |     428792 |     428792
  IPC                                |       0.21 |       0.19 |       0.21 |       0.20 |       0.19 |       0.19
  Time (ns)                          |     161200 |     161200 |     161200 |     161200 |     161200 |     161200
  Idle time (ns)                     |        -55 |        -12 |        -55 |         12 |         34 |         26
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |      19646 |      18196 |      19213 |      18786 |      17965 |      18235
  num incorrect                      |       1085 |       1046 |       1046 |       1046 |       1046 |       1046
  misprediction rate                 |      5.23% |      5.44% |      5.16% |      5.27% |      5.50% |      5.43%
  mpki                               |      11.99 |      12.58 |      11.86 |      12.15 |      12.76 |      12.55
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |       4859 |       4798 |       4798 |       4798 |       4798 |       4798
    num misses                       |         45 |         42 |         42 |         42 |         42 |         42
    miss rate                        |      0.93% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88%
    mpki                             |       0.50 |       0.51 |       0.48 |       0.49 |       0.51 |       0.50
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |      69690 |      61082 |      67172 |      64616 |      59694 |      61317
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.04% |      0.03%
    mpki                             |       0.23 |       0.25 |       0.24 |       0.24 |       0.26 |       0.25
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |         66 |         63 |         63 |         63 |         63 |         63
    num misses                       |         66 |         63 |         63 |         63 |         63 |         63
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.73 |       0.76 |       0.71 |       0.73 |       0.77 |       0.76
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |       4859 |       4798 |       4798 |       4798 |       4798 |       4798
    num cache misses                 |       1194 |       1215 |       1207 |       1290 |       1221 |       1273
    miss rate                        |     24.57% |     25.32% |     25.16% |     26.89% |     25.45% |     26.53%
    mpki                             |      13.19 |      14.61 |      13.68 |      14.99 |      14.89 |      15.28
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |      69690 |      61082 |      67172 |      64616 |      59694 |      61317
    num cache misses                 |        951 |        954 |        962 |        975 |        948 |        973
    miss rate                        |      1.36% |      1.56% |      1.43% |      1.51% |      1.59% |      1.59%
    mpki                             |      10.51 |      11.48 |      10.90 |      11.33 |      11.56 |      11.68
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |       2165 |       2187 |       2186 |       2282 |       2187 |       2264
    num cache misses                 |        929 |        904 |        872 |        884 |        889 |        896
    miss rate                        |     42.91% |     41.34% |     39.89% |     38.74% |     40.65% |     39.58%
    mpki                             |      10.26 |      10.87 |       9.88 |      10.27 |      10.84 |      10.75
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |        951 |        924 |        891 |        904 |        909 |        916
    num cache misses                 |        755 |        712 |        712 |        712 |        712 |        712
    miss rate                        |     79.39% |     77.06% |     79.91% |     78.76% |     78.33% |     77.73%
    mpki                             |       8.34 |       8.56 |       8.07 |       8.27 |       8.69 |       8.54
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |       4315 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      99.34 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      45.91 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     22.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |        172 |        163 |        160 |        162 |        163 |        165
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
