                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   78255228 |   78250333 |   78237418 |   78249247 |   78256678 |   78234339 |   78248380 |   78251501 |   78239977 |   78253069 |   78246054 |   78244809
  Cycles                             |   31852968 |   31852968 |   31852968 |   31852968 |   31852968 |   31852968 |   31852968 |   31852968 |   31852968 |   31852968 |   31852968 |   31852968
  IPC                                |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46
  Time (ns)                          |   11974800 |   11974800 |   11974800 |   11974800 |   11974800 |   11974800 |   11974800 |   11974800 |   11974800 |   11974800 |   11974800 |   11974800
  Idle time (ns)                     |        -31 |        -30 |        -30 |        -29 |        -79 |        -27 |        -31 |        -30 |        -31 |        -30 |        -29 |        -30
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2171843 |    2171709 |    2171356 |    2171679 |    2171907 |    2171272 |    2171656 |    2171740 |    2171426 |    2171784 |    2171591 |    2171558
  num incorrect                      |        981 |        981 |        981 |        981 |       1022 |        981 |        981 |        981 |        981 |        981 |        981 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8524834 |    8524302 |    8522900 |    8524184 |    8525013 |    8522565 |    8524091 |    8524428 |    8523177 |    8524600 |    8523836 |    8523703
    num misses                       |         40 |         40 |         40 |         40 |         43 |         40 |         40 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   36054981 |   36052729 |   36046792 |   36052230 |   36055649 |   36045376 |   36051833 |   36053266 |   36047968 |   36053988 |   36050760 |   36050190
    num misses                       |         69 |         69 |         69 |         69 |         71 |         69 |         69 |         69 |         69 |         69 |         69 |         69
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
