                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |     138389 |     137794 |     138073 |     137674 |     138047 |     137831 |     137609 |     137451 |     137285
  Cycles                             |     392084 |     392084 |     392084 |     392084 |     392084 |     392084 |     392084 |     392084 |     392084
  IPC                                |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35 |       0.35
  Time (ns)                          |     147400 |     147400 |     147400 |     147400 |     147400 |     147400 |     147400 |     147400 |     147400
  Idle time (ns)                     |       -139 |        -82 |        -23 |        -82 |       -139 |        -94 |        -94 |        -73 |        -35
  Idle time (%)                      |      -0.1% |      -0.1% |      -0.0% |      -0.1% |      -0.1% |      -0.1% |      -0.1% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |      30327 |      30256 |      30290 |      30246 |      30284 |      30262 |      30240 |      30230 |      30154
  num incorrect                      |       1519 |       1470 |       1486 |       1456 |       1479 |       1471 |       1454 |       1443 |       1443
  misprediction rate                 |      4.77% |      4.63% |      4.68% |      4.59% |      4.66% |      4.64% |      4.59% |      4.56% |      4.57%
  mpki                               |      10.98 |      10.67 |      10.76 |      10.58 |      10.71 |      10.67 |      10.57 |      10.50 |      10.51
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      15458 |      15343 |      15396 |      15316 |      15381 |      15351 |      15309 |      15291 |      15286
    num misses                       |         52 |         49 |         50 |         49 |         50 |         49 |         49 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.33% |      0.32% |      0.32% |      0.31% |      0.31%
    mpki                             |       0.38 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.35 |       0.35
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      40207 |      39970 |      40106 |      39935 |      40040 |      39989 |      39911 |      39848 |      39846
    num misses                       |         72 |         71 |         72 |         71 |         71 |         71 |         71 |         71 |         71
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.52 |       0.52 |       0.52 |       0.52 |       0.51 |       0.52 |       0.52 |       0.52 |       0.52
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |        124 |        120 |        122 |        120 |        121 |        120 |        120 |        119 |        119
    num misses                       |        122 |        118 |        120 |        118 |        119 |        118 |        118 |        117 |        117
    miss rate                        |     98.39% |     98.33% |     98.36% |     98.33% |     98.35% |     98.33% |     98.33% |     98.32% |     98.32%
