                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   12619241 |   12593740 |   12612022 |   12608630 |   12585017 |   12621657 |   12588029 |   12611478 |   12586231 |   12599634 |   12594312 |   12597396 |   12585206 |   12589186 |   12591068 |   12586471
  Cycles                             |   67914056 |   67914056 |   67914056 |   67914056 |   67914056 |   67914056 |   67914056 |   67914056 |   67914056 |   67914056 |   67914056 |   67914056 |   67914056 |   67914056 |   67914056 |   67914056
  IPC                                |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19
  Time (ns)                          |   25531600 |   25531600 |   25531600 |   25531600 |   25531600 |   25531600 |   25531600 |   25531600 |   25531600 |   25531600 |   25531600 |   25531600 |   25531600 |   25531600 |   25531600 |   25531600
  Idle time (ns)                     |         73 |         60 |        190 |        172 |         36 |        -23 |         17 |        -23 |        148 |         17 |        119 |        102 |        102 |         73 |         72 |         36
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2521623 |    2516523 |    2520180 |    2519501 |    2514779 |    2522009 |    2515381 |    2520071 |    2515022 |    2517702 |    2516638 |    2517255 |    2514816 |    2515613 |    2515989 |    2515070
  num incorrect                      |       1440 |       1440 |       1440 |       1440 |       1440 |       1516 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.12 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15164 |      15164 |      15164 |      15164 |      15164 |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num misses                       |         48 |         48 |         48 |         48 |         48 |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
