                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |    9749764 |    9893110 |    9863350 |    9882203 |    9772476 |    9861325 |    9772381 |    9792986 |    9815443 |    9785422 |    9787521 |    9789018
  Cycles                             |   99314824 |   99314824 |   99314824 |   99314824 |   99314824 |   99314824 |   99314824 |   99314824 |   99314824 |   99314824 |   99314824 |   99314824
  IPC                                |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
  Time (ns)                          |   37336400 |   37336400 |   37336400 |   37336400 |   37336400 |   37336400 |   37336400 |   37336400 |   37336400 |   37336400 |   37336400 |   37336400
  Idle time (ns)                     |        123 |        -75 |        110 |        258 |         71 |        295 |         11 |        -75 |        119 |         33 |        239 |         90
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     283366 |     287362 |     286514 |     287037 |     283997 |     286458 |     283994 |     284566 |     285187 |     284355 |     284413 |     284455
  num incorrect                      |        974 |       1015 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974
  misprediction rate                 |      0.34% |      0.35% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1070563 |    1086228 |    1082963 |    1085022 |    1073045 |    1082742 |    1073035 |    1075285 |    1077734 |    1074457 |    1074686 |    1074850
    num misses                       |         40 |         43 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4498704 |    4564613 |    4550971 |    4559644 |    4509153 |    4550037 |    4509114 |    4518581 |    4528925 |    4515110 |    4516078 |    4516766
    num misses                       |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         72 |         75 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72
    num misses                       |         72 |         75 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1070563 |    1086228 |    1082963 |    1085022 |    1073045 |    1082742 |    1073035 |    1075285 |    1077734 |    1074457 |    1074686 |    1074850
    num cache misses                 |     369334 |     364427 |     360195 |     358828 |     353806 |     355358 |     351444 |     351085 |     350984 |     349364 |     348843 |     348497
    miss rate                        |     34.50% |     33.55% |     33.26% |     33.07% |     32.97% |     32.82% |     32.75% |     32.65% |     32.57% |     32.52% |     32.46% |     32.42%
    mpki                             |      37.88 |      36.84 |      36.52 |      36.31 |      36.20 |      36.04 |      35.96 |      35.85 |      35.76 |      35.70 |      35.64 |      35.60
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4498704 |    4564613 |    4550971 |    4559644 |    4509153 |    4550037 |    4509114 |    4518581 |    4528925 |    4515110 |    4516078 |    4516766
    num cache misses                 |    1986393 |    1825456 |    1836990 |    1840489 |    2048868 |    1897619 |    2058906 |    2053715 |    2004023 |    2059654 |    2060282 |    2056809
    miss rate                        |     44.15% |     39.99% |     40.36% |     40.36% |     45.44% |     41.71% |     45.66% |     45.45% |     44.25% |     45.62% |     45.62% |     45.54%
    mpki                             |     203.74 |     184.52 |     186.24 |     186.24 |     209.66 |     192.43 |     210.69 |     209.71 |     204.17 |     210.48 |     210.50 |     210.11
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2355740 |    2189899 |    2197201 |    2199331 |    2402688 |    2252991 |    2410363 |    2404813 |    2355021 |    2409031 |    2409139 |    2405319
    num cache misses                 |    2062585 |    2009500 |    2050104 |    2042548 |    2086713 |    2084565 |    2086996 |    2090107 |    2088188 |    2087063 |    2086858 |    2083636
    miss rate                        |     87.56% |     91.76% |     93.31% |     92.87% |     86.85% |     92.52% |     86.58% |     86.91% |     88.67% |     86.63% |     86.62% |     86.63%
    mpki                             |     211.55 |     203.12 |     207.85 |     206.69 |     213.53 |     211.39 |     213.56 |     213.43 |     212.75 |     213.28 |     213.22 |     212.85
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2062601 |    2009518 |    2050120 |    2042562 |    2086728 |    2084579 |    2087011 |    2090123 |    2088203 |    2087078 |    2086875 |    2083652
    num cache misses                 |       1486 |       1538 |       1489 |       1493 |       1488 |       1491 |       1486 |       1489 |       1491 |       1487 |       1488 |       1489
    miss rate                        |      0.07% |      0.08% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07% |      0.07%
    mpki                             |       0.15 |       0.16 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      17958 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      83.84 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      30.41 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        700 |        680 |        669 |        694 |        670 |        683 |        699 |        695 |        713 |        700 |        696 |        686
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
