                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |     121632 |     120827 |     120484 |     119790 |     120980 |     120502 |     118728 |     118868 |     117568
  Cycles                             |     761026 |     761026 |     761026 |     761026 |     761026 |     761026 |     761026 |     761026 |     761026
  IPC                                |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.15
  Time (ns)                          |     286100 |     286100 |     286100 |     286100 |     286100 |     286100 |     286100 |     286100 |     286100
  Idle time (ns)                     |       -537 |         -8 |        -83 |       -537 |         -5 |        -40 |         28 |       -485 |       -485
  Idle time (%)                      |      -0.2% |      -0.0% |      -0.0% |      -0.2% |      -0.0% |      -0.0% |       0.0% |      -0.2% |      -0.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |      22023 |      21933 |      21915 |      21784 |      21948 |      21916 |      21555 |      21589 |      21425
  num incorrect                      |       1503 |       1437 |       1417 |       1385 |       1451 |       1418 |       1353 |       1357 |       1343
  misprediction rate                 |      6.39% |      6.15% |      6.07% |      5.98% |      6.20% |      6.08% |      5.91% |      5.91% |      5.90%
  mpki                               |      12.36 |      11.89 |      11.76 |      11.56 |      11.99 |      11.77 |      11.40 |      11.42 |      11.42
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      15330 |      15182 |      15129 |      15062 |      15207 |      15132 |      14992 |      14998 |      14873
    num misses                       |         52 |         49 |         46 |         45 |         49 |         47 |         45 |         45 |         42
    miss rate                        |      0.34% |      0.32% |      0.30% |      0.30% |      0.32% |      0.31% |      0.30% |      0.30% |      0.28%
    mpki                             |       0.43 |       0.41 |       0.38 |       0.38 |       0.41 |       0.39 |       0.38 |       0.38 |       0.36
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      40203 |      39858 |      39728 |      39643 |      39943 |      39732 |      39466 |      39500 |      39025
    num misses                       |        118 |        117 |        116 |        116 |        117 |        117 |        114 |        116 |        114
    miss rate                        |      0.29% |      0.29% |      0.29% |      0.29% |      0.29% |      0.29% |      0.29% |      0.29% |      0.29%
    mpki                             |       0.97 |       0.97 |       0.96 |       0.97 |       0.97 |       0.97 |       0.96 |       0.98 |       0.97
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |        170 |        166 |        162 |        161 |        166 |        164 |        159 |        161 |        156
    num misses                       |        121 |        117 |        114 |        114 |        117 |        115 |        113 |        114 |        110
    miss rate                        |     71.18% |     70.48% |     70.37% |     70.81% |     70.48% |     70.12% |     71.07% |     70.81% |     70.51%
    mpki                             |       0.99 |       0.97 |       0.95 |       0.95 |       0.97 |       0.95 |       0.95 |       0.96 |       0.94
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15330 |      15182 |      15129 |      15062 |      15207 |      15132 |      14992 |      14998 |      14873
    num cache misses                 |       5230 |       5642 |       5998 |       5859 |       5687 |       5840 |       5683 |       5693 |       5054
