                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
    num cache accesses               |     683520 |     678696 |     673386 |     670349 |     668126 |     664405 |     663966 |     663057 |     663374 |     663388 |     663936 |     663503 |     663556 |     663289 |     662779
    num cache misses                 |     678284 |     674760 |     669999 |     667291 |     665052 |     661531 |     661220 |     660445 |     660483 |     660404 |     660937 |     660699 |     660739 |     660289 |     659853
    miss rate                        |     99.23% |     99.42% |     99.50% |     99.54% |     99.54% |     99.57% |     99.59% |     99.61% |     99.56% |     99.55% |     99.55% |     99.58% |     99.58% |     99.55% |     99.56%
    mpki                             |      16.92 |      16.82 |      16.72 |      16.69 |      16.67 |      16.60 |      16.62 |      16.60 |      16.61 |      16.60 |      16.60 |      16.58 |      16.58 |      16.58 |      16.57
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     678317 |     674796 |     670033 |     667321 |     665081 |     661563 |     661251 |     660476 |     660513 |     660438 |     660967 |     660729 |     660769 |     660319 |     659882
    num cache misses                 |       2416 |       2491 |       2416 |       2419 |       2417 |       2417 |       2417 |       2418 |       2417 |       2421 |       2422 |       2419 |       2418 |       2419 |       2422
    miss rate                        |      0.36% |      0.37% |      0.36% |      0.36% |      0.36% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      36364 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     101.64 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      48.21 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1159 |       1174 |       1168 |       1169 |       1172 |       1167 |       1171 |       1168 |       1175 |       1175 |       1174 |       1175 |       1174 |       1168 |       1175
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
