                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |    6728743 |    6404870 |    6343776 |    6296654 |    6290752 |    6267823 |    6276038 |    6277228 |    6281539 |    6284668
  Cycles                             |   27700974 |   27700974 |   27700974 |   27700974 |   27700974 |   27700974 |   27700974 |   27700974 |   27700974 |   27700974
  IPC                                |       0.24 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  Time (ns)                          |   10413900 |   10413900 |   10413900 |   10413900 |   10413900 |   10413900 |   10413900 |   10413900 |   10413900 |   10413900
  Idle time (ns)                     |        -37 |         11 |         85 |         84 |         52 |         39 |         -1 |        -37 |          8 |          8
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |     259678 |     252384 |     250497 |     248973 |     248884 |     248085 |     248177 |     248188 |     248456 |     248704
  num incorrect                      |       3961 |       3863 |       3836 |       3813 |       3812 |       3801 |       3803 |       3803 |       3807 |       3810
  misprediction rate                 |      1.50% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51%
  mpki                               |       0.59 |       0.60 |       0.60 |       0.61 |       0.61 |       0.61 |       0.61 |       0.61 |       0.61 |       0.61
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     680639 |     653912 |     648008 |     643359 |     642919 |     640577 |     641150 |     641231 |     641826 |     642344
    num misses                       |         62 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    3650200 |    3472453 |    3434922 |    3405701 |    3402317 |    3387986 |    3392692 |    3393366 |    3396343 |    3398686
    num misses                       |        107 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  L2 TLB                             |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        169 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161
    num misses                       |        147 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146
    miss rate                        |     86.98% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     680639 |     653912 |     648008 |     643359 |     642919 |     640577 |     641150 |     641231 |     641826 |     642344
