                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   12608510 |   12621657 |   12616540 |   12604824 |   12618009
  Cycles                             |   21380282 |   21380282 |   21380282 |   21380282 |   21380282
  IPC                                |       0.59 |       0.59 |       0.59 |       0.59 |       0.59
  Time (ns)                          |    8037700 |    8037700 |    8037700 |    8037700 |    8037700
  Idle time (ns)                     |        -29 |        -69 |        -69 |        -29 |        -51
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |    2519481 |    2522009 |    2521084 |    2518741 |    2521378
  num incorrect                      |       1440 |       1516 |       1440 |       1440 |       1440
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.11 |       0.12 |       0.11 |       0.11 |       0.11
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |      15164 |      15333 |      15164 |      15164 |      15164
    num misses                       |         48 |         52 |         48 |         48 |         48
    miss rate                        |      0.32% |      0.34% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |      39841 |      40218 |      39841 |      39841 |      39841
    num misses                       |         73 |         74 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        121 |        126 |        121 |        121 |        121
    num misses                       |        116 |        121 |        116 |        116 |        116
    miss rate                        |     95.87% |     96.03% |     95.87% |     95.87% |     95.87%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |      15164 |      15333 |      15164 |      15164 |      15164
    num cache misses                 |       3650 |       3460 |       3623 |       3453 |       3438
    miss rate                        |     24.07% |     22.57% |     23.89% |     22.77% |     22.67%
    mpki                             |       0.29 |       0.27 |       0.29 |       0.27 |       0.27
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |      39841 |      40218 |      39841 |      39841 |      39841
    num cache misses                 |       3417 |       3395 |       3454 |       3364 |       3443
    miss rate                        |      8.58% |      8.44% |      8.67% |      8.44% |      8.64%
    mpki                             |       0.27 |       0.27 |       0.27 |       0.27 |       0.27
  Cache L2                           |            |            |            |            |           
    num cache accesses               |       7100 |       6888 |       7108 |       6849 |       6915
    num cache misses                 |       3049 |       3175 |       3036 |       3063 |       3054
    miss rate                        |     42.94% |     46.09% |     42.71% |     44.72% |     44.16%
    mpki                             |       0.24 |       0.25 |       0.24 |       0.24 |       0.24
  Cache L3                           |            |            |            |            |           
    num cache accesses               |       3087 |       3214 |       3073 |       3101 |       3093
    num cache misses                 |       2412 |       2479 |       2412 |       2412 |       2412
    miss rate                        |     78.13% |     77.13% |     78.49% |     77.78% |     77.98%
    mpki                             |       0.19 |       0.20 |       0.19 |       0.19 |       0.19
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      12127 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      73.95 |        inf |        inf |        inf |        inf
  average dram queueing delay        |      20.52 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       1130 |       1136 |       1134 |       1132 |       1130
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
