                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    9978992 |    9979036 |    9947608 |    9951846
  Cycles                             |   22548288 |   22548288 |   22548288 |   22548288
  IPC                                |       0.44 |       0.44 |       0.44 |       0.44
  Time (ns)                          |    8476800 |    8476800 |    8476800 |    8476800
  Idle time (ns)                     |         20 |        -65 |        -71 |        -65
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |     301061 |     301064 |     300119 |     300237
  num incorrect                      |       1541 |       1544 |       1467 |       1467
  misprediction rate                 |      0.51% |      0.51% |      0.49% |      0.49%
  mpki                               |       0.15 |       0.15 |       0.15 |       0.15
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1097180 |    1097185 |    1093684 |    1094152
    num misses                       |         51 |         52 |         48 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    4596327 |    4596294 |    4581856 |    4583845
    num misses                       |         94 |         94 |         92 |         92
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |           
    num accesses                     |        145 |        146 |        140 |        140
    num misses                       |        133 |        134 |        129 |        129
    miss rate                        |     91.72% |     91.78% |     92.14% |     92.14%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1097180 |    1097185 |    1093684 |    1094152
    num cache misses                 |       1778 |       1812 |       1522 |       1625
    miss rate                        |      0.16% |      0.17% |      0.14% |      0.15%
    mpki                             |       0.18 |       0.18 |       0.15 |       0.16
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    4596327 |    4596294 |    4581856 |    4583845
    num cache misses                 |     100660 |     110035 |      63041 |     101107
    miss rate                        |      2.19% |      2.39% |      1.38% |      2.21%
    mpki                             |      10.09 |      11.03 |       6.34 |      10.16
  Cache L2                           |            |            |            |           
    num cache accesses               |     102475 |     111884 |      64598 |     102767
    num cache misses                 |       3754 |       3772 |       3619 |       3656
    miss rate                        |      3.66% |      3.37% |      5.60% |      3.56%
    mpki                             |       0.38 |       0.38 |       0.36 |       0.37
  Cache L3                           |            |            |            |           
    num cache accesses               |       3793 |       3811 |       3656 |       3693
    num cache misses                 |       3215 |       3219 |       3153 |       3153
    miss rate                        |     84.76% |     84.47% |     86.24% |     85.38%
    mpki                             |       0.32 |       0.32 |       0.32 |       0.32
DRAM summary                         |            |            |            |           
  num dram accesses                  |      12740 |          0 |          0 |          0
  average dram access latency (ns)   |      66.32 |        inf |        inf |        inf
  average dram queueing delay        |      12.89 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1141 |       1140 |       1133 |       1132
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
