                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |   28751805 |   28756762 |   28759954 |   28756650 |   28737594 |   28719457 |   28742271 |   28755717 |   28748104 |   28746905 |   28696086
  Cycles                             |  132951322 |  132951322 |  132951322 |  132951322 |  132951322 |  132951322 |  132951322 |  132951322 |  132951322 |  132951322 |  132951322
  IPC                                |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22
  Time (ns)                          |   49981700 |   49981700 |   49981700 |   49981700 |   49981700 |   49981700 |   49981700 |   49981700 |   49981700 |   49981700 |   49981700
  Idle time (ns)                     |          7 |        -75 |        -89 |        -55 |         -2 |        -89 |        -65 |         62 |         62 |        115 |        -30
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1059508 |    1059605 |    1059719 |    1059603 |    1059231 |    1058879 |    1059323 |    1059585 |    1059437 |    1059414 |    1058422
  num incorrect                      |       7955 |       7955 |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2875640 |    2876023 |    2876325 |    2876014 |    2874542 |    2873144 |    2874904 |    2875943 |    2875355 |    2875263 |    2871337
    num misses                       |         61 |         61 |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
