                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |   60121135 |   60121424 |   60121701 |   60121364 |   60121588 |   60121370 |   60121329 |   60121506 |   60121050 |   60121400 |   60121281 |   60121352 |   60121167
  Cycles                             |  260465870 |  260465870 |  260465870 |  260465870 |  260465870 |  260465870 |  260465870 |  260465870 |  260465870 |  260465870 |  260465870 |  260465870 |  260465870
  IPC                                |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  Time (ns)                          |   97919500 |   97919500 |   97919500 |   97919500 |   97919500 |   97919500 |   97919500 |   97919500 |   97919500 |   97919500 |   97919500 |   97919500 |   97919500
  Idle time (ns)                     |         93 |         90 |        -18 |         93 |         64 |         -2 |         72 |          3 |         51 |        141 |        134 |        137 |        137
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10021955 |   10021988 |   10022011 |   10021984 |   10022009 |   10021985 |   10021978 |   10022000 |   10021945 |   10021987 |   10021973 |   10021982 |   10021961
  num incorrect                      |       1469 |       1494 |       1515 |       1485 |       1513 |       1487 |       1483 |       1502 |       1465 |       1494 |       1476 |       1484 |       1469
  misprediction rate                 |      0.01% |      0.01% |      0.02% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.03 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15242 |      15293 |      15333 |      15282 |      15328 |      15283 |      15276 |      15315 |      15222 |      15289 |      15265 |      15279 |      15247
    num misses                       |         49 |         51 |         52 |         50 |         51 |         50 |         50 |         51 |         49 |         50 |         50 |         50 |         49
    miss rate                        |      0.32% |      0.33% |      0.34% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.32% |      0.33% |      0.33% |      0.33% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40020 |      40163 |      40249 |      40134 |      40247 |      40137 |      40108 |      40204 |      39987 |      40150 |      40094 |      40124 |      40039
    num misses                       |         72 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         72 |         73 |         73 |         73 |         72
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |           
