                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |   50120558 |   50111024 |   50121144 |   50116023 |   50120206 |   50111138 |   50121706 |   50112502 |   50111056 |   50116618
  Cycles                             |  553207116 |  553207116 |  553207116 |  553207116 |  553207116 |  553207116 |  553207116 |  553207116 |  553207116 |  553207116
  IPC                                |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09
  Time (ns)                          |  207972600 |  207972600 |  207972600 |  207972600 |  207972600 |  207972600 |  207972600 |  207972600 |  207972600 |  207972600
  Idle time (ns)                     |         53 |        -24 |        -74 |        -24 |          8 |         25 |        -97 |          8 |        -97 |        -74
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10021874 |   10019967 |   10021952 |   10020967 |   10021804 |   10019990 |   10022009 |   10020262 |   10019973 |   10021086
  num incorrect                      |       1441 |       1441 |       1472 |       1441 |       1441 |       1441 |       1517 |       1441 |       1441 |       1441
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15165 |      15165 |      15243 |      15165 |      15165 |      15165 |      15334 |      15165 |      15165 |      15165
    num misses                       |         48 |         48 |         49 |         48 |         48 |         48 |         52 |         48 |         48 |         48
    miss rate                        |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.34% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   60039604 |   60028163 |   60040003 |   60034162 |   60039181 |   60028303 |   60040237 |   60029937 |   60028195 |   60034869
    num misses                       |        126 |        126 |        126 |        126 |        126 |        126 |        128 |        126 |        126 |        126
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        174 |        174 |        175 |        174 |        174 |        174 |        180 |        174 |        174 |        174
    num misses                       |        116 |        116 |        117 |        116 |        116 |        116 |        121 |        116 |        116 |        116
    miss rate                        |     66.67% |     66.67% |     66.86% |     66.67% |     66.67% |     66.67% |     67.22% |     66.67% |     66.67% |     66.67%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15165 |      15165 |      15243 |      15165 |      15165 |      15165 |      15334 |      15165 |      15165 |      15165
    num cache misses                 |       5465 |       5509 |       5227 |       6093 |       5813 |       6074 |       5187 |       5931 |       5480 |       6122
    miss rate                        |     36.04% |     36.33% |     34.29% |     40.18% |     38.33% |     40.05% |     33.83% |     39.11% |     36.14% |     40.37%
    mpki                             |       0.11 |       0.11 |       0.10 |       0.12 |       0.12 |       0.12 |       0.10 |       0.12 |       0.11 |       0.12
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   60039604 |   60028163 |   60040003 |   60034162 |   60039181 |   60028303 |   60040237 |   60029937 |   60028195 |   60034869
