                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   50121007 |   50121293 |   50121665
  Cycles                             |  160719860 |  160719860 |  160719860
  IPC                                |       0.31 |       0.31 |       0.31
  Time (ns)                          |   60421000 |   60421000 |   60421000
  Idle time (ns)                     |        -10 |        -10 |        -10
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |   10021936 |   10021965 |   10022009
  num incorrect                      |       1467 |       1475 |       1517
  misprediction rate                 |      0.01% |      0.01% |      0.02%
  mpki                               |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |      15213 |      15256 |      15334
    num misses                       |         49 |         50 |         52
    miss rate                        |      0.32% |      0.33% |      0.34%
    mpki                             |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |   60039961 |   60040036 |   60040219
    num misses                       |        126 |        127 |        128
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |           
    num accesses                     |        175 |        177 |        180
    num misses                       |        117 |        118 |        121
    miss rate                        |     66.86% |     66.67% |     67.22%
    mpki                             |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |      15213 |      15256 |      15334
    num cache misses                 |       1370 |       1405 |       1392
    miss rate                        |      9.01% |      9.21% |      9.08%
    mpki                             |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |           
    num cache accesses               |   60039961 |   60040036 |   60040219
    num cache misses                 |       2214 |       2220 |       2267
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.04 |       0.04 |       0.05
  Cache L2                           |            |            |           
    num cache accesses               |       3620 |       3662 |       3697
    num cache misses                 |       2695 |       2687 |       2737
    miss rate                        |     74.45% |     73.38% |     74.03%
    mpki                             |       0.05 |       0.05 |       0.05
  Cache L3                           |            |            |           
    num cache accesses               |       2732 |       2724 |       2775
    num cache misses                 |       2429 |       2439 |       2476
    miss rate                        |     88.91% |     89.54% |     89.23%
    mpki                             |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |           
  num dram accesses                  |       7344 |          0 |          0
  average dram access latency (ns)   |      67.40 |        inf |        inf
  average dram queueing delay        |      13.97 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1119 |       1120 |       1131
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
