                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |   40121723 |   40012279 |   39966523 |   39917010 |   39885689 |   39879165 |   39821797 |   39784604 |   39746577 |   39695068
  Cycles                             |  133538118 |  133538118 |  133538118 |  133538118 |  133538118 |  133538118 |  133538118 |  133538118 |  133538118 |  133538118
  IPC                                |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30
  Time (ns)                          |   50202300 |   50202300 |   50202300 |   50202300 |   50202300 |   50202300 |   50202300 |   50202300 |   50202300 |   50202300
  Idle time (ns)                     |        -67 |         39 |         22 |         10 |         -7 |        -28 |        -43 |        -67 |         72 |         39
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10022006 |    9994797 |    9983359 |    9970982 |    9963150 |    9961520 |    9947178 |    9937879 |    9928374 |    9915495
  num incorrect                      |       1519 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   20015334 |   19960941 |   19938066 |   19913311 |   19897648 |   19894387 |   19865703 |   19847106 |   19828095 |   19802337
    num misses                       |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40237 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847
    num misses                       |         74 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        126 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121
    num misses                       |        122 |        117 |        117 |        117 |        117 |        117 |        117 |        117 |        117 |        117
    miss rate                        |     96.83% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   20015334 |   19960941 |   19938066 |   19913311 |   19897648 |   19894387 |   19865703 |   19847106 |   19828095 |   19802337
    num cache misses                 |     678134 |     667506 |     661646 |     657491 |     654738 |     652744 |     651887 |     651078 |     650201 |     649362
    miss rate                        |      3.39% |      3.34% |      3.32% |      3.30% |      3.29% |      3.28% |      3.28% |      3.28% |      3.28% |      3.28%
    mpki                             |      16.90 |      16.68 |      16.56 |      16.47 |      16.42 |      16.37 |      16.37 |      16.37 |      16.36 |      16.36
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40237 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847
    num cache misses                 |       6285 |       6364 |       6506 |       6586 |       6572 |       6317 |       6510 |       6569 |       6431 |       6366
    miss rate                        |     15.62% |     15.97% |     16.33% |     16.53% |     16.49% |     15.85% |     16.34% |     16.49% |     16.14% |     15.98%
    mpki                             |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.17 |       0.16 |       0.16
  Cache L2                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     684453 |     673899 |     668183 |     664106 |     661338 |     659091 |     658428 |     657678 |     656662 |     655759
    num cache misses                 |     624318 |     645116 |     653009 |     655666 |     655662 |     654605 |     654401 |     653763 |     652515 |     652124
    miss rate                        |     91.21% |     95.73% |     97.73% |     98.73% |     99.14% |     99.32% |     99.39% |     99.40% |     99.37% |     99.45%
    mpki                             |      15.56 |      16.12 |      16.34 |      16.43 |      16.44 |      16.41 |      16.43 |      16.43 |      16.42 |      16.43
  Cache L3                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     624354 |     645147 |     653042 |     655697 |     655691 |     654637 |     654434 |     653794 |     652549 |     652157
    num cache misses                 |       2487 |       2414 |       2414 |       2415 |       2415 |       2414 |       2415 |       2415 |       2415 |       2415
    miss rate                        |      0.40% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      24219 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      81.31 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      27.88 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1156 |       1151 |       1156 |       1158 |       1155 |       1152 |       1158 |       1151 |       1154 |       1163
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
