                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   60121573 |   60121650 |   60121302 |   60121124
  Cycles                             |   80667426 |   80667426 |   80667426 |   80667426
  IPC                                |       0.75 |       0.75 |       0.75 |       0.75
  Time (ns)                          |   30326100 |   30326100 |   30326100 |   30326100
  Idle time (ns)                     |        -16 |       -453 |        304 |       -453
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   10022005 |   10022010 |   10021972 |   10021953
  num incorrect                      |       1511 |       1516 |       1481 |       1471
  misprediction rate                 |      0.02% |      0.02% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.02 |       0.02
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      15325 |      15333 |      15269 |      15242
    num misses                       |         51 |         52 |         50 |         49
    miss rate                        |      0.33% |      0.34% |      0.33% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |      40190 |      40222 |      40103 |      40023
    num misses                       |        159 |        159 |        159 |        158
    miss rate                        |      0.40% |      0.40% |      0.40% |      0.39%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        210 |        211 |        209 |        207
    num misses                       |        126 |        127 |        125 |        123
    miss rate                        |     60.00% |     60.19% |     59.81% |     59.42%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15325 |      15333 |      15269 |      15242
    num cache misses                 |       1638 |       1642 |       1654 |       1631
    miss rate                        |     10.69% |     10.71% |     10.83% |     10.70%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      40190 |      40222 |      40103 |      40023
    num cache misses                 |       2700 |       2702 |       2685 |       2699
    miss rate                        |      6.72% |      6.72% |      6.70% |      6.74%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04
  Cache L2                           |            |            |            |           
    num cache accesses               |       4376 |       4382 |       4375 |       4367
    num cache misses                 |       2803 |       2811 |       2773 |       2767
    miss rate                        |     64.05% |     64.15% |     63.38% |     63.36%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05
  Cache L3                           |            |            |            |           
    num cache accesses               |       2842 |       2850 |       2811 |       2805
    num cache misses                 |       2469 |       2477 |       2443 |       2431
    miss rate                        |     86.88% |     86.91% |     86.91% |     86.67%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9820 |          0 |          0 |          0
  average dram access latency (ns)   |      70.55 |        inf |        inf |        inf
  average dram queueing delay        |      17.12 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1128 |       1131 |       1123 |       1128
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
