                                     | Core 0     | Core 1    
  Instructions                       |   50121718 |   50121589
  Cycles                             |  160683152 |  160683152
  IPC                                |       0.31 |       0.31
  Time (ns)                          |   60407200 |   60407200
  Idle time (ns)                     |       -966 |        -51
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |   10022009 |   10022007
  num incorrect                      |       1517 |       1515
  misprediction rate                 |      0.02% |      0.02%
  mpki                               |       0.03 |       0.03
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |      15334 |      15329
    num misses                       |         52 |         51
    miss rate                        |      0.34% |      0.33%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   60040243 |   60040237
    num misses                       |        128 |        128
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  L2 TLB                             |            |           
    num accesses                     |        180 |        179
    num misses                       |        121 |        120
    miss rate                        |     67.22% |     67.04%
    mpki                             |       0.00 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      15334 |      15329
    num cache misses                 |        957 |        964
    miss rate                        |      6.24% |      6.29%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |   60040243 |   60040237
    num cache misses                 |       1943 |       1949
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.04 |       0.04
  Cache L2                           |            |           
    num cache accesses               |       2938 |       2951
    num cache misses                 |       2574 |       2564
    miss rate                        |     87.61% |     86.89%
    mpki                             |       0.05 |       0.05
  Cache L3                           |            |           
    num cache accesses               |       2613 |       2603
    num cache misses                 |       2476 |       2472
    miss rate                        |     94.76% |     94.97%
    mpki                             |       0.05 |       0.05
DRAM summary                         |            |           
  num dram accesses                  |       4948 |          0
  average dram access latency (ns)   |      65.40 |        inf
  average dram queueing delay        |      11.97 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       1120 |       1120
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
