                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
    mpki                             |     144.38 |     144.50 |     144.57 |     144.35 |     144.46 |     144.03 |     144.09 |     141.97 |     144.53 |     144.56 |     144.28 |     144.00 |     144.41 |     143.93 |     143.97
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5839301 |    5837429 |    5834041 |    5821295 |    5817003 |    5801283 |    5805329 |    5764442 |    5816938 |    5821839 |    5809873 |    5798513 |    5815345 |    5797194 |    5804958
    num cache misses                 |    5342662 |    5357864 |    5355800 |    5360670 |    5362504 |    5353417 |    5354518 |    5269486 |    5366500 |    5367512 |    5351263 |    5346316 |    5363632 |    5342747 |    5348509
    miss rate                        |     91.49% |     91.78% |     91.80% |     92.09% |     92.19% |     92.28% |     92.23% |     91.41% |     92.26% |     92.20% |     92.11% |     92.20% |     92.23% |     92.16% |     92.14%
    mpki                             |     189.25 |     189.67 |     189.68 |     189.68 |     189.81 |     189.28 |     189.34 |     183.22 |     189.81 |     189.76 |     189.18 |     189.02 |     189.59 |     188.86 |     188.72
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5343495 |    5358711 |    5356640 |    5361508 |    5363351 |    5354265 |    5355357 |    5270345 |    5367350 |    5368345 |    5352104 |    5347156 |    5364447 |    5343590 |    5349336
    num cache misses                 |      35628 |      35667 |      35625 |      35651 |      35673 |      35688 |      35669 |      35937 |      35669 |      35656 |      35640 |      35653 |      35574 |      35607 |      35654
    miss rate                        |      0.67% |      0.67% |      0.67% |      0.66% |      0.67% |      0.67% |      0.67% |      0.68% |      0.66% |      0.66% |      0.67% |      0.67% |      0.66% |      0.67% |      0.67%
    mpki                             |       1.26 |       1.26 |       1.26 |       1.26 |       1.26 |       1.26 |       1.26 |       1.25 |       1.26 |       1.26 |       1.26 |       1.26 |       1.26 |       1.26 |       1.26
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     680295 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      57.65 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       4.22 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      6.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      33200 |      33177 |      33177 |      33224 |      33225 |      33261 |      33280 |      33136 |      33099 |      33160 |      33211 |      33116 |      33126 |      33116 |      33152
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
