                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   60121185 |   60121079 |   60121350 |   60121088 |   60121659 |   60121554 |   60121578 |   60121575 |   60121417 |   60121470 |   60121277 |   60121277 |   60121236 |   60121406 |   60121163 |   60121178
  Cycles                             |  320572028 |  320572028 |  320572028 |  320572028 |  320572028 |  320572028 |  320572028 |  320572028 |  320572028 |  320572028 |  320572028 |  320572028 |  320572028 |  320572028 |  320572028 |  320572028
  IPC                                |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19
  Time (ns)                          |  120515800 |  120515800 |  120515800 |  120515800 |  120515800 |  120515800 |  120515800 |  120515800 |  120515800 |  120515800 |  120515800 |  120515800 |  120515800 |  120515800 |  120515800 |  120515800
  Idle time (ns)                     |        -10 |         66 |        -29 |        -29 |        -89 |        111 |         31 |        -89 |        110 |        -89 |         54 |         48 |          4 |         92 |         66 |         31
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10021959 |   10021946 |   10021979 |   10021949 |   10022009 |   10022002 |   10022006 |   10022005 |   10021986 |   10021990 |   10021968 |   10021968 |   10021965 |   10021986 |   10021957 |   10021959
  num incorrect                      |       1472 |       1469 |       1487 |       1469 |       1517 |       1510 |       1513 |       1512 |       1496 |       1500 |       1479 |       1479 |       1476 |       1496 |       1472 |       1472
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.02% |      0.02% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.03 |       0.03 |       0.03 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
