                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |   98240234 |   99969531 |   98209104 |   99554854 |  108033173 |  102178217 |   99895439 |  105855810 |   99832066 |   99368406 |   98631736 |   98493905 |  105013305
  Cycles                             |  434724332 |  434724332 |  434724332 |  434724332 |  434724332 |  434724332 |  434724332 |  434724332 |  434724332 |  434724332 |  434724332 |  434724332 |  434724332
  IPC                                |       0.23 |       0.23 |       0.23 |       0.23 |       0.25 |       0.24 |       0.23 |       0.24 |       0.23 |       0.23 |       0.23 |       0.23 |       0.24
  Time (ns)                          |  163430200 |  163430200 |  163430200 |  163430200 |  163430200 |  163430200 |  163430200 |  163430200 |  163430200 |  163430200 |  163430200 |  163430200 |  163430200
  Idle time (ns)                     |        -46 |         54 |         -8 |         -2 |        -76 |        -76 |        210 |        -16 |         59 |        -10 |         97 |        -46 |        -76
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   15504622 |   15788669 |   15499468 |   15720536 |   17101784 |   16151455 |   15776420 |   16755291 |   15766062 |   15689952 |   15568955 |   15546307 |   16616856
  num incorrect                      |     250484 |     255910 |     250380 |     254563 |     281892 |     263069 |     255671 |     275158 |     255467 |     253938 |     251681 |     251258 |     272383
  misprediction rate                 |      1.59% |      1.59% |      1.59% |      1.59% |      1.62% |      1.60% |      1.59% |      1.62% |      1.59% |      1.59% |      1.59% |      1.59% |      1.61%
  mpki                               |       2.55 |       2.56 |       2.55 |       2.56 |       2.61 |       2.57 |       2.56 |       2.60 |       2.56 |       2.56 |       2.55 |       2.55 |       2.59
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
