                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |      36134 |      39639 |      39787 |      32362 |      36666 |      36465 |      32939 |      39564 |      34370 |      32431
  Cycles                             |     187530 |     187530 |     187530 |     187530 |     187530 |     187530 |     187530 |     187530 |     187530 |     187530
  IPC                                |       0.19 |       0.21 |       0.21 |       0.17 |       0.20 |       0.19 |       0.18 |       0.21 |       0.18 |       0.17
  Time (ns)                          |      70500 |      70500 |      70500 |      70500 |      70500 |      70500 |      70500 |      70500 |      70500 |      70500
  Idle time (ns)                     |        132 |        168 |        218 |        279 |          1 |        272 |        167 |        -95 |         58 |        -10
  Idle time (%)                      |       0.2% |       0.2% |       0.3% |       0.4% |       0.0% |       0.4% |       0.2% |      -0.1% |       0.1% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |       8408 |       8577 |       8597 |       7576 |       8450 |       8432 |       7708 |       8572 |       8057 |       7586
  num incorrect                      |        948 |        998 |       1013 |        848 |        966 |        962 |        861 |        987 |        882 |        851
  misprediction rate                 |     10.13% |     10.42% |     10.54% |     10.07% |     10.26% |     10.24% |     10.05% |     10.33% |      9.87% |     10.09%
  mpki                               |      26.24 |      25.18 |      25.46 |      26.20 |      26.35 |      26.38 |      26.14 |      24.95 |      25.66 |      26.24
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4424 |       4754 |       4784 |       4011 |       4496 |       4472 |       4055 |       4738 |       4158 |       4020
    num misses                       |         38 |         42 |         43 |         35 |         39 |         39 |         35 |         40 |         37 |         35
    miss rate                        |      0.86% |      0.88% |      0.90% |      0.87% |      0.87% |      0.87% |      0.86% |      0.84% |      0.89% |      0.87%
    mpki                             |       1.05 |       1.06 |       1.08 |       1.08 |       1.06 |       1.07 |       1.06 |       1.01 |       1.08 |       1.08
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       8679 |      10391 |      10463 |       7799 |       8959 |       8823 |       7961 |      10358 |       8415 |       7811
    num misses                       |         22 |         22 |         22 |         20 |         22 |         22 |         20 |         22 |         21 |         20
    miss rate                        |      0.25% |      0.21% |      0.21% |      0.26% |      0.25% |      0.25% |      0.25% |      0.21% |      0.25% |      0.26%
    mpki                             |       0.61 |       0.56 |       0.55 |       0.62 |       0.60 |       0.60 |       0.61 |       0.56 |       0.61 |       0.62
  L2 TLB                             |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         60 |         64 |         65 |         55 |         61 |         61 |         55 |         62 |         58 |         55
    num misses                       |         60 |         64 |         65 |         55 |         61 |         61 |         55 |         62 |         58 |         55
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       1.66 |       1.61 |       1.63 |       1.70 |       1.66 |       1.67 |       1.67 |       1.57 |       1.69 |       1.70
Cache Summary                        |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4424 |       4754 |       4784 |       4011 |       4496 |       4472 |       4055 |       4738 |       4158 |       4020
    num cache misses                 |       2343 |       2252 |       2259 |       2253 |       2253 |       2301 |       2254 |       2255 |       2248 |       2209
    miss rate                        |     52.96% |     47.37% |     47.22% |     56.17% |     50.11% |     51.45% |     55.59% |     47.59% |     54.06% |     54.95%
    mpki                             |      64.84 |      56.81 |      56.78 |      69.62 |      61.45 |      63.10 |      68.43 |      57.00 |      65.41 |      68.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |           
