                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |     120769 |     121652 |     121503
  Cycles                             |     477470 |     477470 |     477470
  IPC                                |       0.25 |       0.25 |       0.25
  Time (ns)                          |     179500 |     179500 |     179500
  Idle time (ns)                     |        -13 |       -635 |       -635
  Idle time (%)                      |      -0.0% |      -0.4% |      -0.4%
Branch predictor stats               |            |            |           
  num correct                        |      21916 |      22012 |      21991
  num incorrect                      |       1447 |       1514 |       1496
  misprediction rate                 |      6.19% |      6.44% |      6.37%
  mpki                               |      11.98 |      12.45 |      12.31
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |      15176 |      15330 |      15296
    num misses                       |         49 |         52 |         51
    miss rate                        |      0.32% |      0.34% |      0.33%
    mpki                             |       0.41 |       0.43 |       0.42
  D-TLB                              |            |            |           
    num accesses                     |      39866 |      40216 |      40142
    num misses                       |         76 |         77 |         77
    miss rate                        |      0.19% |      0.19% |      0.19%
    mpki                             |       0.63 |       0.63 |       0.63
  L2 TLB                             |            |            |           
    num accesses                     |        125 |        129 |        128
    num misses                       |        119 |        123 |        122
    miss rate                        |     95.20% |     95.35% |     95.31%
    mpki                             |       0.99 |       1.01 |       1.00
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |      15176 |      15330 |      15296
    num cache misses                 |       1323 |       1389 |       1401
    miss rate                        |      8.72% |      9.06% |      9.16%
    mpki                             |      10.95 |      11.42 |      11.53
  Cache L1-D                         |            |            |           
    num cache accesses               |      39866 |      40216 |      40142
    num cache misses                 |       2198 |       2220 |       2233
    miss rate                        |      5.51% |      5.52% |      5.56%
    mpki                             |      18.20 |      18.25 |      18.38
  Cache L2                           |            |            |           
    num cache accesses               |       3562 |       3649 |       3675
    num cache misses                 |       2665 |       2734 |       2716
    miss rate                        |     74.82% |     74.92% |     73.90%
    mpki                             |      22.07 |      22.47 |      22.35
  Cache L3                           |            |            |           
    num cache accesses               |       2707 |       2775 |       2758
    num cache misses                 |       2418 |       2475 |       2453
    miss rate                        |     89.32% |     89.19% |     88.94%
    mpki                             |      20.02 |      20.34 |      20.19
DRAM summary                         |            |            |           
  num dram accesses                  |       7346 |          0 |          0
  average dram access latency (ns)   |      70.96 |        inf |        inf
  average dram queueing delay        |      17.53 |       0.00 |       0.00
  average dram bandwidth utilization |     34.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1129 |       1130 |       1125
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
