                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |  108033173 |  104733131 |  102320641 |  105488446 |  103486235 |  103106532 |  102485979
  Cycles                             |  229101544 |  229101544 |  229101544 |  229101544 |  229101544 |  229101544 |  229101544
  IPC                                |       0.47 |       0.46 |       0.45 |       0.46 |       0.45 |       0.45 |       0.45
  Time (ns)                          |   86128400 |   86128400 |   86128400 |   86128400 |   86128400 |   86128400 |   86128400
  Idle time (ns)                     |        -53 |         24 |          2 |        -17 |         24 |        -33 |        -53
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |   17101784 |   16570995 |   16174776 |   16694999 |   16366241 |   16303797 |   16201907
  num incorrect                      |     281892 |     271459 |     263539 |     273946 |     267363 |     266113 |     264084
  misprediction rate                 |      1.62% |      1.61% |      1.60% |      1.61% |      1.61% |      1.61% |      1.60%
  mpki                               |       2.61 |       2.59 |       2.58 |       2.60 |       2.58 |       2.58 |       2.58
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |   16653068 |   16149669 |   15785907 |   16263492 |   15961550 |   15904319 |   15810697
    num misses                       |        152 |        138 |        138 |        138 |        138 |        138 |        138
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |   39205552 |   37994688 |   37089018 |   38278450 |   37526670 |   37384070 |   37151015
    num misses                       |       1051 |       1029 |       1028 |       1029 |       1029 |       1029 |       1028
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |       1203 |       1167 |       1166 |       1167 |       1167 |       1167 |       1166
    num misses                       |        363 |        354 |        354 |        354 |        354 |        354 |        354
    miss rate                        |     30.17% |     30.33% |     30.36% |     30.33% |     30.33% |     30.33% |     30.36%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |   16653068 |   16149669 |   15785907 |   16263492 |   15961550 |   15904319 |   15810697
    num cache misses                 |    3509400 |    3936336 |    4191429 |    3844161 |    4180445 |    4234199 |    4211034
    miss rate                        |     21.07% |     24.37% |     26.55% |     23.64% |     26.19% |     26.62% |     26.63%
    mpki                             |      32.48 |      37.58 |      40.96 |      36.44 |      40.40 |      41.07 |      41.09
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |   39205552 |   37994688 |   37089018 |   38278450 |   37526670 |   37384070 |   37151015
    num cache misses                 |    1417511 |    1438163 |    1483149 |    1441025 |    1462594 |    1475266 |    1486883
    miss rate                        |      3.62% |      3.79% |      4.00% |      3.76% |      3.90% |      3.95% |      4.00%
    mpki                             |      13.12 |      13.73 |      14.50 |      13.66 |      14.13 |      14.31 |      14.51
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |    4927564 |    5375135 |    5675231 |    5285826 |    5643702 |    5710128 |    5698566
    num cache misses                 |     597296 |     639754 |     641183 |     631674 |     644449 |     648510 |     646326
    miss rate                        |     12.12% |     11.90% |     11.30% |     11.95% |     11.42% |     11.36% |     11.34%
    mpki                             |       5.53 |       6.11 |       6.27 |       5.99 |       6.23 |       6.29 |       6.31
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |     597966 |     640399 |     641845 |     632326 |     645118 |     649182 |     646983
    num cache misses                 |      10996 |      10865 |      10873 |      10854 |      10914 |      10904 |      10868
    miss rate                        |      1.84% |      1.70% |      1.69% |      1.72% |      1.69% |      1.68% |      1.68%
    mpki                             |       0.10 |       0.10 |       0.11 |       0.10 |       0.11 |       0.11 |       0.11
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |      81440 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      64.48 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      11.05 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |       5545 |       5641 |       5721 |       5577 |       5673 |       5758 |       5675
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
