                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |    6597519 |    6608974 |    6605951 |    6728798 |    6689912 |    6596396 |    6651118 |    6601320 |    6593897 |    6594492 |    6602269 |    6613826 |    6604617 |    6598913
  Cycles                             |   54562984 |   54562984 |   54562984 |   54562984 |   54562984 |   54562984 |   54562984 |   54562984 |   54562984 |   54562984 |   54562984 |   54562984 |   54562984 |   54562984
  IPC                                |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12
  Time (ns)                          |   20512400 |   20512400 |   20512400 |   20512400 |   20512400 |   20512400 |   20512400 |   20512400 |   20512400 |   20512400 |   20512400 |   20512400 |   20512400 |   20512400
  Idle time (ns)                     |        -95 |        103 |        247 |        -95 |        193 |        193 |         49 |         72 |        225 |        103 |        281 |         43 |        219 |        247
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     257031 |     257259 |     257199 |     259678 |     258857 |     257010 |     258090 |     257108 |     256960 |     256973 |     257126 |     257354 |     257173 |     257060
  num incorrect                      |       3911 |       3911 |       3911 |       3961 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911
  misprediction rate                 |      1.50% |      1.50% |      1.50% |      1.50% |      1.49% |      1.50% |      1.49% |      1.50% |      1.50% |      1.50% |      1.50% |      1.50% |      1.50% |      1.50%
  mpki                               |       0.59 |       0.59 |       0.59 |       0.59 |       0.58 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     670405 |     671295 |     671061 |     680639 |     677569 |     670320 |     674561 |     670702 |     670125 |     670173 |     670775 |     671671 |     670958 |     670515
    num misses                       |         60 |         60 |         60 |         62 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    3581981 |    3587944 |    3586382 |    3650225 |    3630059 |    3581412 |    3609877 |    3583974 |    3580110 |    3580423 |    3584468 |    3590479 |    3585690 |    3582721
    num misses                       |        101 |        101 |        101 |        107 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        161 |        161 |        161 |        169 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161
    num misses                       |        146 |        146 |        146 |        147 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146
    miss rate                        |     90.68% |     90.68% |     90.68% |     86.98% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     670405 |     671295 |     671061 |     680639 |     677569 |     670320 |     674561 |     670702 |     670125 |     670173 |     670775 |     671671 |     670958 |     670515
    num cache misses                 |     405709 |     403793 |     403493 |     386903 |     386746 |     398213 |     392898 |     398375 |     397268 |     395652 |     397686 |     399570 |     395811 |     395740
    miss rate                        |     60.52% |     60.15% |     60.13% |     56.84% |     57.08% |     59.41% |     58.24% |     59.40% |     59.28% |     59.04% |     59.29% |     59.49% |     58.99% |     59.02%
    mpki                             |      61.49 |      61.10 |      61.08 |      57.50 |      57.81 |      60.37 |      59.07 |      60.35 |      60.25 |      60.00 |      60.23 |      60.41 |      59.93 |      59.97
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3581981 |    3587944 |    3586382 |    3650225 |    3630059 |    3581412 |    3609877 |    3583974 |    3580110 |    3580423 |    3584468 |    3590479 |    3585690 |    3582721
    num cache misses                 |     765843 |     765596 |     766998 |     753658 |     750357 |     760821 |     757514 |     765037 |     768639 |     762564 |     764790 |     767360 |     765676 |     765035
    miss rate                        |     21.38% |     21.34% |     21.39% |     20.65% |     20.67% |     21.24% |     20.98% |     21.35% |     21.47% |     21.30% |     21.34% |     21.37% |     21.35% |     21.35%
    mpki                             |     116.08 |     115.84 |     116.11 |     112.00 |     112.16 |     115.34 |     113.89 |     115.89 |     116.57 |     115.64 |     115.84 |     116.02 |     115.93 |     115.93
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1171571 |    1169408 |    1170509 |    1140584 |    1137124 |    1159053 |    1150432 |    1163430 |    1165926 |    1158235 |    1162491 |    1166948 |    1161505 |    1160793
    num cache misses                 |    1015451 |    1014682 |    1018452 |     993296 |     991704 |    1011155 |    1008045 |    1017288 |    1023096 |    1015897 |    1017262 |    1019782 |    1018704 |    1018977
