                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   78009094 |   78019915 |   78256669 |   77990705
  Cycles                             |  126870562 |  126870562 |  126870562 |  126870562
  IPC                                |       0.61 |       0.61 |       0.62 |       0.61
  Time (ns)                          |   47695700 |   47695700 |   47695700 |   47695700
  Idle time (ns)                     |        -45 |        -26 |        -71 |        -71
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    2165106 |    2165404 |    2171907 |    2164604
  num incorrect                      |        981 |        981 |       1022 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    8498096 |    8499274 |    8525013 |    8496100
    num misses                       |         40 |         40 |         43 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   35941812 |   35946790 |   36055597 |   35933352
    num misses                       |         69 |         69 |         71 |         69
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        109 |        109 |        114 |        109
    num misses                       |        109 |        109 |        112 |        109
    miss rate                        |    100.00% |    100.00% |     98.25% |    100.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    8498096 |    8499274 |    8525013 |    8496100
    num cache misses                 |      13179 |      13150 |      13107 |      13132
    miss rate                        |      0.16% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.17 |       0.17 |       0.17 |       0.17
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   35941812 |   35946790 |   36055597 |   35933352
    num cache misses                 |    2143799 |    2144313 |    2154447 |    2143327
    miss rate                        |      5.96% |      5.97% |      5.98% |      5.96%
    mpki                             |      27.48 |      27.48 |      27.53 |      27.48
  Cache L2                           |            |            |            |           
    num cache accesses               |    2156995 |    2157480 |    2167573 |    2156476
    num cache misses                 |     100477 |      98952 |      60414 |      97583
    miss rate                        |      4.66% |      4.59% |      2.79% |      4.53%
    mpki                             |       1.29 |       1.27 |       0.77 |       1.25
  Cache L3                           |            |            |            |           
    num cache accesses               |     100495 |      98970 |      60436 |      97601
    num cache misses                 |       3773 |       3774 |       3822 |       3773
    miss rate                        |      3.75% |      3.81% |      6.32% |      3.87%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |           
  num dram accesses                  |      15142 |          0 |          0 |          0
  average dram access latency (ns)   |      61.06 |        inf |        inf |        inf
  average dram queueing delay        |       7.63 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1119 |       1002 |       1043 |       1148
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
