                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |    6728735 |    6727287 |    6714727
  Cycles                             |    8680112 |    8680112 |    8680112
  IPC                                |       0.78 |       0.78 |       0.77
  Time (ns)                          |    3263200 |    3263200 |    3263200
  Idle time (ns)                     |        -75 |        -75 |        -29
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |     259678 |     259595 |     259349
  num incorrect                      |       3961 |       3911 |       3911
  misprediction rate                 |      1.50% |      1.48% |      1.49%
  mpki                               |       0.59 |       0.58 |       0.58
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |     680639 |     680466 |     679495
    num misses                       |         62 |         60 |         60
    miss rate                        |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |           
    num accesses                     |    3650201 |    3649502 |    3642975
    num misses                       |        107 |        101 |        101
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02
  L2 TLB                             |            |            |           
    num accesses                     |        169 |        161 |        161
    num misses                       |        147 |        146 |        146
    miss rate                        |     86.98% |     90.68% |     90.68%
    mpki                             |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |     680639 |     680466 |     679495
    num cache misses                 |      25102 |      24361 |      24233
    miss rate                        |      3.69% |      3.58% |      3.57%
    mpki                             |       3.73 |       3.62 |       3.61
  Cache L1-D                         |            |            |           
    num cache accesses               |    3650201 |    3649502 |    3642975
    num cache misses                 |      15544 |      15337 |      15287
    miss rate                        |      0.43% |      0.42% |      0.42%
    mpki                             |       2.31 |       2.28 |       2.28
  Cache L2                           |            |            |           
    num cache accesses               |      40679 |      39730 |      39551
    num cache misses                 |      15513 |      15430 |      15311
    miss rate                        |     38.14% |     38.84% |     38.71%
    mpki                             |       2.31 |       2.29 |       2.28
  Cache L3                           |            |            |           
    num cache accesses               |      15594 |      15503 |      15375
    num cache misses                 |       4398 |       4335 |       4335
    miss rate                        |     28.20% |     27.96% |     28.20%
    mpki                             |       0.65 |       0.64 |       0.65
DRAM summary                         |            |            |           
  num dram accesses                  |      13068 |          0 |          0
  average dram access latency (ns)   |      62.32 |        inf |        inf
  average dram queueing delay        |       8.89 |       0.00 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1335 |       1325 |       1324
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
