                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |   12621636 |   12591843 |   12612938 |   12596903 |   12593965 |   12586472 |   12611410 |   12586495 |   12585903 |   12585489 |   12600210 |   12585564 |   12585860 |   12590788
  Cycles                             |   59489570 |   59489570 |   59489570 |   59489570 |   59489570 |   59489570 |   59489570 |   59489570 |   59489570 |   59489570 |   59489570 |   59489570 |   59489570 |   59489570
  IPC                                |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
  Time (ns)                          |   22364500 |   22364500 |   22364500 |   22364500 |   22364500 |   22364500 |   22364500 |   22364500 |   22364500 |   22364500 |   22364500 |   22364500 |   22364500 |   22364500
  Idle time (ns)                     |        -77 |        109 |         83 |        -21 |         66 |         42 |         22 |        -77 |         66 |        -34 |        109 |         40 |         10 |        103
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2522009 |    2516144 |    2520363 |    2517156 |    2516568 |    2515070 |    2520058 |    2515075 |    2514956 |    2514873 |    2517817 |    2514888 |    2514948 |    2515933
  num incorrect                      |       1516 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.12 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num misses                       |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40204 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841
    num misses                       |         74 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        126 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121
    num misses                       |        121 |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        116
    miss rate                        |     96.03% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num cache misses                 |       6415 |       6888 |       6308 |       6730 |       6454 |       6888 |       6052 |       6759 |       6990 |       6983 |       6546 |       6911 |       6909 |       6910
    miss rate                        |     41.84% |     45.42% |     41.60% |     44.38% |     42.56% |     45.42% |     39.91% |     44.57% |     46.10% |     46.05% |     43.17% |     45.58% |     45.56% |     45.57%
    mpki                             |       0.51 |       0.55 |       0.50 |       0.53 |       0.51 |       0.55 |       0.48 |       0.54 |       0.56 |       0.55 |       0.52 |       0.55 |       0.55 |       0.55
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40204 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841
    num cache misses                 |       8508 |       9139 |       8630 |       9006 |       8839 |       9198 |       8345 |       9071 |       9299 |       9317 |       8780 |       9143 |       9136 |       9237
    miss rate                        |     21.16% |     22.94% |     21.66% |     22.60% |     22.19% |     23.09% |     20.95% |     22.77% |     23.34% |     23.39% |     22.04% |     22.95% |     22.93% |     23.18%
    mpki                             |       0.67 |       0.73 |       0.68 |       0.71 |       0.70 |       0.73 |       0.66 |       0.72 |       0.74 |       0.74 |       0.70 |       0.73 |       0.73 |       0.73
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14955 |      16057 |      14968 |      15766 |      15322 |      16117 |      14427 |      15861 |      16320 |      16330 |      15356 |      16085 |      16076 |      16177
    num cache misses                 |      12055 |      13312 |      12219 |      12961 |      12770 |      13252 |      11791 |      12831 |      13275 |      13390 |      12571 |      13023 |      13226 |      13374
    miss rate                        |     80.61% |     82.90% |     81.63% |     82.21% |     83.34% |     82.22% |     81.73% |     80.90% |     81.34% |     82.00% |     81.86% |     80.96% |     82.27% |     82.67%
    mpki                             |       0.96 |       1.06 |       0.97 |       1.03 |       1.01 |       1.05 |       0.93 |       1.02 |       1.05 |       1.06 |       1.00 |       1.03 |       1.05 |       1.06
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      12090 |      13342 |      12250 |      12991 |      12801 |      13285 |      11823 |      12862 |      13306 |      13422 |      12602 |      13055 |      13257 |      13404
    num cache misses                 |       2681 |       2642 |       2625 |       2633 |       2638 |       2641 |       2623 |       2634 |       2637 |       2639 |       2623 |       2635 |       2638 |       2639
    miss rate                        |     22.18% |     19.80% |     21.43% |     20.27% |     20.61% |     19.88% |     22.19% |     20.48% |     19.82% |     19.66% |     20.81% |     20.18% |     19.90% |     19.69%
    mpki                             |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      37322 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      90.24 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      36.81 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1332 |       1364 |       1346 |       1351 |       1354 |       1377 |       1340 |       1359 |       1363 |       1370 |       1338 |       1359 |       1360 |       1370
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
