                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |     121629 |     121234 |     121178 |     121079 |     120878
  Cycles                             |     179550 |     179550 |     179550 |     179550 |     179550
  IPC                                |       0.68 |       0.68 |       0.67 |       0.67 |       0.67
  Time (ns)                          |      67500 |      67500 |      67500 |      67500 |      67500
  Idle time (ns)                     |        -98 |        -58 |        -98 |        -85 |        -85
  Idle time (%)                      |      -0.1% |      -0.1% |      -0.1% |      -0.1% |      -0.1%
Branch predictor stats               |            |            |            |            |           
  num correct                        |      22023 |      21980 |      21973 |      21960 |      21942
  num incorrect                      |       1503 |       1462 |       1459 |       1455 |       1440
  misprediction rate                 |      6.39% |      6.24% |      6.23% |      6.21% |      6.16%
  mpki                               |      12.36 |      12.06 |      12.04 |      12.02 |      11.91
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |      15330 |      15252 |      15246 |      15226 |      15187
    num misses                       |         52 |         50 |         49 |         49 |         49
    miss rate                        |      0.34% |      0.33% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.43 |       0.41 |       0.40 |       0.40 |       0.41
  D-TLB                              |            |            |            |            |           
    num accesses                     |      40202 |      40057 |      40042 |      39985 |      39923
    num misses                       |        118 |        118 |        117 |        117 |        117
    miss rate                        |      0.29% |      0.29% |      0.29% |      0.29% |      0.29%
    mpki                             |       0.97 |       0.97 |       0.97 |       0.97 |       0.97
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        170 |        168 |        166 |        166 |        166
    num misses                       |        121 |        119 |        117 |        117 |        117
    miss rate                        |     71.18% |     70.83% |     70.48% |     70.48% |     70.48%
    mpki                             |       0.99 |       0.98 |       0.97 |       0.97 |       0.97
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |      15330 |      15252 |      15246 |      15226 |      15187
    num cache misses                 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |      40202 |      40057 |      40042 |      39985 |      39923
    num cache misses                 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
