                                     | Core 0     | Core 1    
  Instructions                       |   78256678 |   78256643
  Cycles                             |   31873184 |   31873184
  IPC                                |       2.46 |       2.46
  Time (ns)                          |   11982400 |   11982400
  Idle time (ns)                     |        182 |        -62
  Idle time (%)                      |       0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |    2171907 |    2171904
  num incorrect                      |       1022 |       1019
  misprediction rate                 |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    8525013 |    8525007
    num misses                       |         43 |         42
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   36055649 |   36055634
    num misses                       |         71 |         71
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  L2 TLB                             |            |           
    num accesses                     |        114 |        113
    num misses                       |        112 |        111
    miss rate                        |     98.25% |     98.23%
    mpki                             |       0.00 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    8525013 |    8525007
    num cache misses                 |        554 |        550
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01
  Cache L1-D                         |            |           
    num cache accesses               |   36055649 |   36055634
    num cache misses                 |    2120325 |    2120326
    miss rate                        |      5.88% |      5.88%
    mpki                             |      27.09 |      27.09
  Cache L2                           |            |           
    num cache accesses               |    2120902 |    2120899
    num cache misses                 |       4438 |       4439
    miss rate                        |      0.21% |      0.21%
    mpki                             |       0.06 |       0.06
  Cache L3                           |            |           
    num cache accesses               |       4461 |       4462
    num cache misses                 |       3826 |       3822
    miss rate                        |     85.77% |     85.66%
    mpki                             |       0.05 |       0.05
DRAM summary                         |            |           
  num dram accesses                  |       7648 |          0
  average dram access latency (ns)   |      65.53 |        inf
  average dram queueing delay        |      12.11 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |        246 |        250
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
