                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |   78248955 |   78255561 |   78253244 |   78251681 |   78248669 |   78250840 |   78256681 |   78251948 |   78252107 |   78247576 |   78243421 |   78247793 |   78253118 |   78248250 |   78242162
  Cycles                             |  476192136 |  476192136 |  476192136 |  476192136 |  476192136 |  476192136 |  476192136 |  476192136 |  476192136 |  476192136 |  476192136 |  476192136 |  476192136 |  476192136 |  476192136
  IPC                                |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16
  Time (ns)                          |  179019600 |  179019600 |  179019600 |  179019600 |  179019600 |  179019600 |  179019600 |  179019600 |  179019600 |  179019600 |  179019600 |  179019600 |  179019600 |  179019600 |  179019600
  Idle time (ns)                     |         49 |        -22 |        -65 |        149 |        143 |         86 |        -95 |        -22 |        108 |        -39 |         39 |        134 |         66 |         66 |         49
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2171672 |    2171852 |    2171789 |    2171747 |    2171664 |    2171723 |    2171907 |    2171754 |    2171758 |    2171634 |    2171520 |    2171640 |    2171786 |    2171653 |    2171486
  num incorrect                      |        981 |        981 |        981 |        981 |        981 |        981 |       1022 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8524154 |    8524871 |    8524620 |    8524451 |    8524123 |    8524358 |    8525013 |    8524480 |    8524496 |    8524004 |    8523552 |    8524028 |    8524607 |    8524078 |    8523416
    num misses                       |         40 |         40 |         40 |         40 |         40 |         40 |         43 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   36052096 |   36055134 |   36054056 |   36053351 |   36051966 |   36052963 |   36055600 |   36053472 |   36053546 |   36051461 |   36049551 |   36051563 |   36054012 |   36051774 |   36048973
    num misses                       |         69 |         69 |         69 |         69 |         69 |         69 |         71 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        109 |        109 |        109 |        109 |        109 |        109 |        114 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109
    num misses                       |        109 |        109 |        109 |        109 |        109 |        109 |        112 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109
