                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   40121674 |   40120900 |   40117781 |   40105745
  Cycles                             |   53830952 |   53830952 |   53830952 |   53830952
  IPC                                |       0.75 |       0.75 |       0.75 |       0.75
  Time (ns)                          |   20237200 |   20237200 |   20237200 |   20237200
  Idle time (ns)                     |        -54 |         -5 |        -54 |        -54
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   10022006 |   10021922 |   10021167 |   10018160
  num incorrect                      |       1519 |       1453 |       1442 |       1442
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   20015334 |   20015186 |   20013682 |   20007666
    num misses                       |         52 |         49 |         48 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |      40210 |      39913 |      39847 |      39847
    num misses                       |         74 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        126 |        122 |        121 |        121
    num misses                       |        122 |        118 |        117 |        117
    miss rate                        |     96.83% |     96.72% |     96.69% |     96.69%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   20015334 |   20015186 |   20013682 |   20007666
    num cache misses                 |       1639 |       1591 |       1557 |       1481
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      40210 |      39913 |      39847 |      39847
    num cache misses                 |       2658 |       2620 |       2641 |       2629
    miss rate                        |      6.61% |      6.56% |      6.63% |      6.60%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07
  Cache L2                           |            |            |            |           
    num cache accesses               |       4337 |       4248 |       4235 |       4149
    num cache misses                 |       2793 |       2730 |       2702 |       2712
    miss rate                        |     64.40% |     64.27% |     63.80% |     65.37%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07
  Cache L3                           |            |            |            |           
    num cache accesses               |       2836 |       2770 |       2742 |       2754
    num cache misses                 |       2481 |       2428 |       2414 |       2414
    miss rate                        |     87.48% |     87.65% |     88.04% |     87.65%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9737 |          0 |          0 |          0
  average dram access latency (ns)   |      71.70 |        inf |        inf |        inf
  average dram queueing delay        |      18.27 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1132 |       1122 |       1125 |       1126
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
