                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
    num cache accesses               |     679265 |     677764 |     672394 |     667743 |     666078 |     662791 |     660827 |     659474 |     658498 |     657030 |     656168 |     656547 |     655174
    num cache misses                 |       2415 |       2488 |       2417 |       2417 |       2416 |       2418 |       2416 |       2415 |       2415 |       2416 |       2418 |       2415 |       2415
    miss rate                        |      0.36% |      0.37% |      0.36% |      0.36% |      0.36% |      0.36% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      31493 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      97.01 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      43.58 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1167 |       1171 |       1155 |       1162 |       1165 |       1157 |       1164 |       1162 |       1167 |       1169 |       1165 |       1168 |       1170
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
