                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   60121629 |   60120924 |   60104959 |   60121487 |   60113995
  Cycles                             |  100548266 |  100548266 |  100548266 |  100548266 |  100548266
  IPC                                |       0.60 |       0.60 |       0.60 |       0.60 |       0.60
  Time (ns)                          |   37800100 |   37800100 |   37800100 |   37800100 |   37800100
  Idle time (ns)                     |        -13 |         85 |        -16 |         18 |        -13
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |   10022010 |   10021930 |   10019275 |   10021994 |   10020802
  num incorrect                      |       1516 |       1455 |       1440 |       1500 |       1440
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |      15333 |      15194 |      15164 |      15305 |      15164
    num misses                       |         52 |         49 |         48 |         51 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.33% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |      40208 |      39936 |      39845 |      40192 |      39845
    num misses                       |        159 |        158 |        158 |        159 |        158
    miss rate                        |      0.40% |      0.40% |      0.40% |      0.40% |      0.40%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        211 |        207 |        206 |        210 |        206
    num misses                       |        127 |        123 |        122 |        126 |        122
    miss rate                        |     60.19% |     59.42% |     59.22% |     60.00% |     59.22%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |      15333 |      15194 |      15164 |      15305 |      15164
    num cache misses                 |       3474 |       3304 |       3218 |       3457 |       3313
    miss rate                        |     22.66% |     21.75% |     21.22% |     22.59% |     21.85%
    mpki                             |       0.06 |       0.05 |       0.05 |       0.06 |       0.06
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |      40208 |      39936 |      39845 |      40192 |      39845
    num cache misses                 |       3361 |       3328 |       3155 |       3321 |       3215
    miss rate                        |      8.36% |      8.33% |      7.92% |      8.26% |      8.07%
    mpki                             |       0.06 |       0.06 |       0.05 |       0.06 |       0.05
  Cache L2                           |            |            |            |            |           
    num cache accesses               |       6871 |       6669 |       6408 |       6813 |       6564
    num cache misses                 |       3155 |       3115 |       3094 |       3177 |       3081
    miss rate                        |     45.92% |     46.71% |     48.28% |     46.63% |     46.94%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Cache L3                           |            |            |            |            |           
    num cache accesses               |       3194 |       3153 |       3131 |       3216 |       3119
    num cache misses                 |       2477 |       2427 |       2411 |       2461 |       2411
    miss rate                        |     77.55% |     76.97% |     77.00% |     76.52% |     77.30%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      12187 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      73.49 |        inf |        inf |        inf |        inf
  average dram queueing delay        |      20.06 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       1136 |       1135 |       1134 |       1144 |       1138
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
