                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |    50103862 |    50101587 |    50120996 |    50119267 |    50121657 |    50036587 |    50114130 |    50102206 |    50101990 |    50097138 |    50116968 |    50108152 |    50110338 |    50098773 |    50095988 |    50097158
  Cycles                             |  1695142988 |  1695142988 |  1695142988 |  1695142988 |  1695142988 |  1695142988 |  1695142988 |  1695142988 |  1695142988 |  1695142988 |  1695142988 |  1695142988 |  1695142988 |  1695142988 |  1695142988 |  1695142988
  IPC                                |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
  Time (ns)                          |   637271800 |   637271800 |   637271800 |   637271800 |   637271800 |   637271800 |   637271800 |   637271800 |   637271800 |   637271800 |   637271800 |   637271800 |   637271800 |   637271800 |   637271800 |   637271800
  Idle time (ns)                     |         369 |         -14 |        1061 |         210 |         -91 |          36 |         356 |          36 |         154 |         236 |         393 |         -91 |         -14 |         455 |         347 |         420
  Idle time (%)                      |        0.0% |       -0.0% |        0.0% |        0.0% |       -0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |       -0.0% |       -0.0% |        0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    10018535 |    10018079 |    10021934 |    10021615 |    10022009 |    10005080 |    10020588 |    10018203 |    10018160 |    10017190 |    10021156 |    10019392 |    10019830 |    10017517 |    10016960 |    10017194
  num incorrect                      |        1441 |        1441 |        1466 |        1441 |        1517 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441
  misprediction rate                 |       0.01% |       0.01% |       0.01% |       0.01% |       0.02% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01%
  mpki                               |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       15165 |       15165 |       15212 |       15165 |       15334 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165
    num misses                       |          48 |          48 |          49 |          48 |          52 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48
    miss rate                        |       0.32% |       0.32% |       0.32% |       0.32% |       0.34% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    60019566 |    60016832 |    60039959 |    60038053 |    60040216 |    59938841 |    60031892 |    60017582 |    60017323 |    60011502 |    60035295 |    60024718 |    60027341 |    60013461 |    60010120 |    60011525
    num misses                       |         126 |         126 |         126 |         126 |         128 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         126
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |         174 |         174 |         175 |         174 |         180 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         174
    num misses                       |         116 |         116 |         117 |         116 |         121 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116
