                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |   60120858 |   60120616 |   60121661 |   60121173 |   60121721 |   60121163 |   60121066 |   60120879 |   60120855
  Cycles                             |  180316878 |  180316878 |  180316878 |  180316878 |  180316878 |  180316878 |  180316878 |  180316878 |  180316878
  IPC                                |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33
  Time (ns)                          |   67788300 |   67788300 |   67788300 |   67788300 |   67788300 |   67788300 |   67788300 |   67788300 |   67788300
  Idle time (ns)                     |        -65 |        -21 |       -104 |        -30 |       -104 |        -65 |         -9 |        -41 |        -21
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |   10021926 |   10021902 |   10022009 |   10021960 |   10022010 |   10021958 |   10021948 |   10021929 |   10021926
  num incorrect                      |       1451 |       1440 |       1516 |       1471 |       1516 |       1471 |       1467 |       1452 |       1451
  misprediction rate                 |      0.01% |      0.01% |      0.02% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.03 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      15184 |      15164 |      15331 |      15246 |      15333 |      15245 |      15226 |      15187 |      15184
    num misses                       |         49 |         48 |         51 |         49 |         52 |         49 |         49 |         49 |         49
    miss rate                        |      0.32% |      0.32% |      0.33% |      0.32% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      39910 |      39845 |      40229 |      40039 |      40260 |      40023 |      39994 |      39922 |      39917
    num misses                       |        158 |        158 |        159 |        158 |        159 |        158 |        158 |        158 |        158
    miss rate                        |      0.40% |      0.40% |      0.40% |      0.39% |      0.39% |      0.39% |      0.40% |      0.40% |      0.40%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |        207 |        206 |        210 |        207 |        211 |        207 |        207 |        207 |        207
