                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |    9979061 |    9782582 |    9737398 |    9744193 |    9741384
  Cycles                             |   20214670 |   20214670 |   20214670 |   20214670 |   20214670
  IPC                                |       0.49 |       0.48 |       0.48 |       0.48 |       0.48
  Time (ns)                          |    7599500 |    7599500 |    7599500 |    7599500 |    7599500
  Idle time (ns)                     |        -14 |         19 |        -14 |         33 |         52
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |     301064 |     295545 |     294293 |     294482 |     294404
  num incorrect                      |       1544 |       1467 |       1467 |       1467 |       1467
  misprediction rate                 |      0.51% |      0.49% |      0.50% |      0.50% |      0.50%
  mpki                               |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |    1097185 |    1075674 |    1070743 |    1071486 |    1071179
    num misses                       |         52 |         48 |         48 |         48 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |    4596310 |    4505955 |    4485162 |    4488302 |    4487012
    num misses                       |         94 |         92 |         92 |         92 |         92
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        146 |        140 |        140 |        140 |        140
    num misses                       |        134 |        129 |        129 |        129 |        129
    miss rate                        |     91.78% |     92.14% |     92.14% |     92.14% |     92.14%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |    1097185 |    1075674 |    1070743 |    1071486 |    1071179
    num cache misses                 |     304614 |     325093 |     326917 |     327567 |     328206
    miss rate                        |     27.76% |     30.22% |     30.53% |     30.57% |     30.64%
    mpki                             |      30.53 |      33.23 |      33.57 |      33.62 |      33.69
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |    4596310 |    4505955 |    4485162 |    4488302 |    4487012
    num cache misses                 |     116358 |     188293 |     240648 |     226764 |     230808
    miss rate                        |      2.53% |      4.18% |      5.37% |      5.05% |      5.14%
    mpki                             |      11.66 |      19.25 |      24.71 |      23.27 |      23.69
  Cache L2                           |            |            |            |            |           
    num cache accesses               |     421008 |     513419 |     567599 |     554366 |     559046
    num cache misses                 |       6493 |       7616 |       7441 |       7714 |       7308
    miss rate                        |      1.54% |      1.48% |      1.31% |      1.39% |      1.31%
    mpki                             |       0.65 |       0.78 |       0.76 |       0.79 |       0.75
  Cache L3                           |            |            |            |            |           
    num cache accesses               |       6531 |       7651 |       7476 |       7750 |       7343
    num cache misses                 |       3219 |       3149 |       3147 |       3148 |       3148
    miss rate                        |     49.29% |     41.16% |     42.09% |     40.62% |     42.87%
    mpki                             |       0.32 |       0.32 |       0.32 |       0.32 |       0.32
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      15811 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      69.51 |        inf |        inf |        inf |        inf
  average dram queueing delay        |      16.08 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       1374 |       1387 |       1380 |       1396 |       1383
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
